task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
tool_removal,smolvla,front_rotate_5deg,all,658,0.68,1.521,1.543,1.063,1.719,0.705,1.205,1.729,2.111,0.0182,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_blank,all,658,0.921,3.262,3.123,1.675,3.525,0.897,2.234,2.933,2.689,0.0243,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,front_uniform,all,658,0.936,3.15,2.955,1.486,3.389,0.845,2.127,2.789,2.533,0.0228,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_shift_x_20,all,658,0.339,0.7,0.807,0.465,0.73,0.33,0.562,0.809,0.988,0.0152,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_shift_x_40,all,658,0.389,0.755,0.849,0.52,0.787,0.328,0.605,0.87,0.984,0.0122,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_shift_x_80,all,658,0.397,0.802,0.906,0.562,0.838,0.341,0.641,0.917,1.022,0.0106,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_shift_y_40,all,658,0.37,0.87,0.944,0.613,1.091,0.394,0.713,1.006,1.179,0.0137,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_zoom_out_10pct,all,658,0.342,0.971,1.128,0.547,0.845,0.394,0.704,0.979,1.182,0.0152,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_zoom_in_10pct,all,658,0.358,0.893,0.974,0.569,0.883,0.398,0.679,0.964,1.192,0.0137,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_rotate_5deg,all,658,0.383,0.887,1.003,0.549,0.94,0.437,0.7,1.001,1.309,0.0182,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_blank,all,658,0.467,1.344,1.417,0.821,1.704,0.767,1.087,1.549,2.299,0.0228,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,top_uniform,all,658,0.514,1.317,1.311,0.764,1.865,0.635,1.068,1.49,1.902,0.0213,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_shift_x_20,all,658,0.222,0.751,0.798,0.292,0.434,0.206,0.451,0.6,0.616,0.0061,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_shift_x_40,all,658,0.187,0.628,0.663,0.271,0.389,0.186,0.387,0.522,0.558,0.003,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_shift_x_80,all,658,0.261,0.848,0.964,0.354,0.557,0.291,0.546,0.741,0.872,0.0061,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_shift_y_40,all,658,0.218,0.713,0.77,0.328,0.5,0.301,0.472,0.658,0.902,0.0076,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_zoom_out_10pct,all,658,0.28,0.964,0.976,0.372,0.629,0.292,0.586,0.786,0.876,0.0106,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_zoom_in_10pct,all,658,0.233,0.642,0.648,0.321,0.532,0.237,0.436,0.605,0.71,0.0091,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_rotate_5deg,all,658,0.274,0.949,0.985,0.343,0.553,0.265,0.562,0.747,0.795,0.0046,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_blank,all,658,0.751,2.012,2.063,0.864,1.301,0.777,1.295,1.822,2.328,0.0167,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,wrist_uniform,all,658,0.764,2.136,2.162,0.846,1.701,0.678,1.381,1.875,2.032,0.0167,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,all_blank,all,658,1.522,5.082,4.381,2.211,5.046,1.889,3.355,4.573,5.661,0.035,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,all_uniform,all,658,1.571,5.768,4.701,2.431,6.368,1.868,3.784,5.025,5.599,0.035,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,all_dark_30pct,all,658,0.299,0.823,0.769,0.475,0.723,0.346,0.572,0.812,1.036,0.0122,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,all_bright_30pct,all,658,0.295,0.826,0.784,0.444,0.621,0.26,0.539,0.744,0.78,0.0137,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
tool_removal,smolvla,all_blur_sigma2,all,658,0.79,2.083,2.185,1.318,2.048,1.316,1.623,2.403,3.945,0.0274,0.395,1.191,0.97,0.554,0.98,0.334,10.58,46.71,39.34,19.22,34.84,6.0
