task,policy,perturbation,phase,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
cable_clip,smolvla,front_uniform,all,1126,0.989,2.295,2.308,1.174,2.259,0.983,1.668,2.644,3.176,0.024,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_shift_x_20,all,1126,0.322,0.6,0.686,0.351,0.658,0.285,0.484,0.777,0.92,0.0124,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_shift_x_40,all,1126,0.366,0.68,0.797,0.418,0.761,0.363,0.564,0.916,1.174,0.0133,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_shift_x_80,all,1126,0.41,0.868,0.959,0.499,0.854,0.393,0.664,1.06,1.269,0.016,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_shift_y_40,all,1126,0.385,0.704,0.838,0.45,0.846,0.361,0.597,0.963,1.167,0.0178,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_zoom_out_10pct,all,1126,0.416,0.677,0.872,0.414,0.815,0.381,0.596,0.97,1.231,0.0178,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_zoom_in_10pct,all,1126,0.352,0.692,0.803,0.417,0.746,0.364,0.562,0.91,1.177,0.0115,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_rotate_5deg,all,1126,0.351,0.681,0.738,0.384,0.702,0.344,0.533,0.865,1.112,0.0107,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_blank,all,1126,0.702,2.064,1.412,0.747,1.491,0.701,1.186,1.866,2.266,0.0187,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,top_uniform,all,1126,0.836,1.85,1.494,0.792,1.22,0.685,1.146,1.85,2.215,0.0204,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_shift_x_20,all,1126,0.169,0.367,0.388,0.202,0.357,0.157,0.273,0.435,0.507,0.0053,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_shift_x_40,all,1126,0.154,0.332,0.374,0.179,0.324,0.14,0.25,0.396,0.452,0.0089,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_shift_x_80,all,1126,0.2,0.423,0.492,0.234,0.424,0.197,0.328,0.523,0.637,0.0098,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_shift_y_40,all,1126,0.188,0.406,0.438,0.221,0.407,0.178,0.306,0.487,0.577,0.008,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_zoom_out_10pct,all,1126,0.268,0.701,0.641,0.339,0.622,0.278,0.475,0.749,0.899,0.0107,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_zoom_in_10pct,all,1126,0.203,0.507,0.468,0.249,0.421,0.21,0.343,0.546,0.677,0.0071,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_rotate_5deg,all,1126,0.195,0.456,0.463,0.239,0.412,0.173,0.323,0.508,0.559,0.0053,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_blank,all,1126,0.558,1.356,1.208,0.556,1.095,0.468,0.873,1.368,1.512,0.0178,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,wrist_uniform,all,1126,0.555,1.436,1.449,0.606,1.241,0.532,0.97,1.506,1.72,0.0178,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,all_blank,all,1126,1.724,3.741,3.814,1.969,3.5,1.988,2.789,4.555,6.426,0.0337,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,all_uniform,all,1126,1.851,3.792,3.944,2.199,3.935,2.152,2.979,4.894,6.955,0.0622,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,all_dark_30pct,all,1126,0.331,0.653,0.679,0.351,0.68,0.254,0.491,0.777,0.821,0.0044,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,all_bright_30pct,all,1126,0.365,0.788,0.882,0.424,0.723,0.358,0.59,0.942,1.158,0.0107,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
cable_clip,smolvla,all_blur_sigma2,all,1126,0.73,1.936,1.859,0.838,1.571,0.687,1.27,1.975,2.221,0.024,0.381,0.91,0.905,0.533,0.802,0.309,17.51,44.91,43.32,16.76,52.29,12.99
