episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,deepest_at,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
1908,diffusion,failure,930,0.28,0.63,,0.0,0.873,0.27,0.0,0.16,0.39,0.3,0.42,0.29,0.36,0.29,0.21,0.24,0.27
1909,diffusion,failure,928,0.56,0.82,,0.0,0.882,0.058,0.005,0.12,0.54,0.66,0.59,0.52,0.53,0.55,0.54,0.62,0.66
1910,diffusion,failure,907,0.24,0.68,,0.0,0.899,0.186,0.003,0.17,0.19,0.31,0.2,0.36,0.38,0.24,0.38,0.26,0.22
1911,diffusion,failure,919,0.2,0.51,,0.0,0.322,0.11,0.0,0.2,0.19,0.17,0.17,0.18,0.18,0.24,0.22,0.22,0.22
1912,diffusion,failure,903,0.27,0.68,,0.0,0.589,0.276,0.001,0.24,0.19,0.26,0.3,0.32,0.21,0.27,0.24,0.23,0.32
1913,diffusion,failure,924,0.31,0.71,,0.0,0.82,0.258,0.001,0.18,0.17,0.27,0.39,0.35,0.33,0.3,0.41,0.31,0.33
1914,diffusion,failure,912,0.07,0.18,,0.0,0.9,0.021,0.461,0.06,0.07,0.07,0.06,0.07,0.07,0.07,0.07,0.07,0.06
1915,diffusion,failure,912,0.09,0.87,,0.0,0.926,0.064,0.919,0.08,0.08,0.09,0.09,0.14,0.73,0.14,0.07,0.07,0.07
1916,diffusion,failure,926,0.09,0.67,,0.0,0.504,0.023,0.83,0.09,0.1,0.13,0.49,0.08,0.1,0.09,0.09,0.08,0.07
1917,diffusion,failure,897,0.13,0.69,,0.0,0.937,0.032,0.004,0.22,0.5,0.06,0.07,0.14,0.39,0.06,0.21,0.17,0.07
1918,diffusion,failure,904,0.38,0.71,,0.0,0.907,0.397,0.0,0.07,0.38,0.32,0.44,0.5,0.55,0.12,0.44,0.4,0.19
1919,act,failure,977,0.4,0.86,,0.0,0.896,0.645,0.009,0.31,0.41,0.48,0.38,0.37,0.38,0.36,0.39,0.46,0.45
1920,act,failure,956,0.43,0.89,,0.0,0.898,0.401,0.022,0.52,0.58,0.27,0.29,0.42,0.42,0.47,0.47,0.48,0.44
1921,act,failure,952,0.49,0.7,,0.0,0.894,0.193,0.011,0.37,0.38,0.4,0.52,0.51,0.53,0.52,0.51,0.54,0.47
1922,act,failure,953,0.46,0.8,,0.0,0.896,0.635,0.0,0.38,0.42,0.44,0.45,0.52,0.45,0.44,0.47,0.48,0.56
1923,act,failure,952,0.41,0.73,,0.0,0.916,0.184,0.024,0.38,0.36,0.39,0.35,0.42,0.34,0.44,0.44,0.45,0.43
1924,act,failure,942,0.37,0.83,,0.0,0.894,0.566,0.021,0.26,0.31,0.33,0.42,0.46,0.38,0.36,0.32,0.36,0.41
1925,act,failure,927,0.46,0.85,,0.0,0.898,0.279,0.019,0.41,0.42,0.46,0.48,0.48,0.44,0.46,0.47,0.46,0.5
1926,act,failure,891,0.24,0.66,,0.0,0.533,0.144,0.02,0.23,0.41,0.39,0.44,0.19,0.19,0.2,0.2,0.2,0.22
1927,act,failure,918,0.37,0.7,,0.0,0.573,0.569,0.022,0.4,0.34,0.49,0.45,0.36,0.35,0.38,0.33,0.24,0.32
1928,act,failure,911,0.39,0.81,,0.0,0.546,0.4,0.0,0.56,0.44,0.45,0.55,0.33,0.32,0.25,0.27,0.32,0.27
1929,act,failure,919,0.37,0.73,,0.0,0.632,0.257,0.012,0.25,0.19,0.16,0.34,0.4,0.42,0.42,0.42,0.49,0.47
1930,act,failure,927,0.41,0.86,,0.0,0.931,0.278,0.013,0.22,0.17,0.35,0.5,0.44,0.43,0.6,0.47,0.38,0.34
1931,act,failure,888,0.23,0.45,,0.0,0.564,0.216,0.016,0.19,0.18,0.23,0.2,0.24,0.22,0.26,0.27,0.23,0.24
1932,act,failure,926,0.3,0.49,,0.0,0.892,0.664,0.004,0.24,0.19,0.29,0.3,0.28,0.3,0.31,0.29,0.37,0.35
1933,act,failure,912,0.23,0.65,,0.0,0.533,0.245,0.01,0.43,0.26,0.15,0.38,0.26,0.19,0.23,0.33,0.4,0.2
1934,act,failure,979,0.28,0.64,,0.0,0.569,0.29,0.02,0.3,0.19,0.39,0.16,0.27,0.32,0.23,0.31,0.37,0.2
1935,act,failure,978,0.24,0.53,,0.0,0.411,0.244,0.017,0.27,0.24,0.25,0.22,0.25,0.21,0.22,0.25,0.26,0.23
1936,act,failure,983,0.25,0.53,,0.0,0.581,0.233,0.0,0.26,0.3,0.24,0.21,0.19,0.29,0.29,0.25,0.29,0.3
1937,act,failure,965,0.24,0.55,,0.0,0.603,0.25,0.013,0.25,0.18,0.19,0.26,0.26,0.33,0.32,0.24,0.14,0.15
1938,act,failure,970,0.15,0.7,,0.0,0.585,0.404,0.019,0.3,0.19,0.23,0.14,0.15,0.14,0.15,0.12,0.12,0.15
1939,act,failure,977,0.35,0.71,,0.0,0.635,0.507,0.017,0.27,0.22,0.27,0.24,0.3,0.33,0.5,0.54,0.48,0.47
1940,act,failure,966,0.26,0.63,,0.0,0.601,0.58,0.007,0.23,0.33,0.26,0.28,0.2,0.27,0.28,0.28,0.27,0.24
1941,act,failure,927,0.17,0.45,,0.0,0.588,0.407,0.025,0.26,0.19,0.22,0.25,0.21,0.14,0.17,0.16,0.15,0.14
1942,act,failure,929,0.24,0.7,,0.0,0.601,0.596,0.01,0.21,0.33,0.29,0.33,0.33,0.23,0.18,0.15,0.21,0.23
1943,act,failure,951,0.26,0.68,,0.0,0.75,0.573,0.012,0.23,0.44,0.3,0.27,0.2,0.17,0.24,0.25,0.23,0.23
1944,act,failure,910,0.29,0.79,,0.0,0.701,0.506,0.023,0.3,0.37,0.34,0.29,0.26,0.3,0.25,0.24,0.3,0.25
1945,act,failure,896,0.39,1.02,0.223,0.008,0.857,0.479,0.011,0.45,0.77,0.72,0.35,0.23,0.34,0.33,0.37,0.27,0.45
1946,act,failure,920,0.41,0.98,0.925,0.005,0.936,0.329,0.026,0.45,0.66,0.48,0.25,0.24,0.32,0.36,0.43,0.71,0.84
1947,act,failure,917,0.73,1.09,0.095,0.062,0.922,0.515,0.001,0.66,0.63,0.51,0.88,0.85,0.86,0.78,0.64,0.66,0.78
1948,act,failure,937,0.37,0.72,,0.0,0.894,0.401,0.022,0.2,0.26,0.46,0.36,0.41,0.37,0.48,0.32,0.32,0.42
1949,act,failure,985,0.27,0.62,,0.0,0.48,0.22,0.007,0.33,0.28,0.27,0.33,0.23,0.23,0.27,0.25,0.27,0.27
1950,act,failure,995,0.29,0.65,,0.0,0.194,0.146,0.012,0.31,0.27,0.29,0.28,0.32,0.3,0.28,0.28,0.31,0.29
1951,act,failure,987,0.32,0.67,,0.0,0.461,0.282,0.011,0.31,0.34,0.33,0.32,0.31,0.29,0.31,0.32,0.32,0.38
1952,act,failure,988,0.37,0.78,,0.0,0.323,0.248,0.006,0.28,0.33,0.41,0.47,0.51,0.32,0.44,0.38,0.38,0.36
1953,act,failure,988,0.27,0.62,,0.0,0.285,0.154,0.01,0.28,0.26,0.27,0.23,0.32,0.33,0.25,0.25,0.22,0.31
1954,act,failure,989,0.29,0.62,,0.0,0.195,0.167,0.009,0.29,0.32,0.29,0.3,0.32,0.27,0.24,0.29,0.32,0.29
1955,act,failure,996,0.3,0.69,,0.0,0.551,0.248,0.006,0.25,0.23,0.4,0.29,0.33,0.32,0.22,0.3,0.29,0.35
1956,act,failure,993,0.31,0.67,,0.0,0.205,0.174,0.015,0.27,0.28,0.29,0.3,0.33,0.34,0.28,0.32,0.4,0.3
1957,act,failure,993,0.31,0.58,,0.0,0.475,0.245,0.0,0.31,0.31,0.29,0.24,0.36,0.33,0.3,0.3,0.32,0.31
1958,act,failure,994,0.3,0.6,,0.0,0.295,0.182,0.0,0.36,0.29,0.3,0.3,0.31,0.3,0.31,0.32,0.28,0.3
1959,act,failure,993,0.29,0.57,,0.0,0.19,0.102,0.012,0.39,0.35,0.24,0.3,0.26,0.27,0.27,0.29,0.26,0.3
1960,act,failure,992,0.31,0.66,,0.0,0.478,0.285,0.014,0.43,0.3,0.29,0.25,0.3,0.3,0.28,0.39,0.28,0.32
1961,act,failure,991,0.36,0.78,,0.0,0.943,0.83,0.016,0.46,0.25,0.3,0.27,0.35,0.29,0.48,0.42,0.39,0.34
1962,act,failure,990,0.26,0.63,,0.0,0.473,0.148,0.015,0.3,0.31,0.25,0.29,0.24,0.23,0.23,0.24,0.28,0.23
1963,act,failure,993,0.32,0.7,,0.0,0.475,0.332,0.014,0.44,0.3,0.27,0.28,0.28,0.29,0.3,0.34,0.25,0.35
1964,act,failure,987,0.38,0.86,,0.0,0.624,0.607,0.015,0.3,0.21,0.47,0.5,0.46,0.44,0.37,0.37,0.41,0.41
1965,act,failure,997,0.61,1.2,0.049,0.024,0.919,0.164,0.007,0.65,0.53,0.76,0.72,0.62,0.57,0.53,0.68,0.59,0.49
1966,act,failure,991,0.6,1.23,0.049,0.038,0.237,0.146,0.061,0.82,0.72,0.58,0.58,0.66,0.71,0.55,0.41,0.57,0.52
1967,act,failure,994,0.67,1.02,0.242,0.018,0.304,0.236,0.014,0.64,0.64,0.73,0.74,0.66,0.7,0.82,0.69,0.67,0.65
1968,act,failure,475,0.57,0.82,,0.0,0.162,0.084,0.006,0.29,0.63,0.54,0.5,0.52,0.53,0.64,0.57,0.56,0.62
1969,act,failure,870,0.52,0.88,,0.0,0.935,0.136,0.009,0.5,0.43,0.43,0.48,0.54,0.73,0.58,0.57,0.4,0.64
1970,act,failure,837,0.32,0.57,,0.0,0.226,0.099,0.017,0.3,0.31,0.33,0.29,0.31,0.34,0.33,0.3,0.34,0.37
1971,act,failure,997,0.63,0.99,0.271,0.019,0.297,0.243,0.015,0.5,0.61,0.78,0.72,0.57,0.68,0.63,0.65,0.68,0.68
1972,act,failure,993,0.8,1.5,0.065,0.297,0.892,0.131,0.582,0.66,0.48,0.47,0.83,0.75,0.97,0.95,0.87,0.86,1.13
1973,act,failure,381,0.48,0.72,,0.0,0.247,0.068,0.016,0.24,0.52,0.48,0.5,0.43,0.46,0.56,0.6,0.47,0.39
1974,act,failure,153,0.52,0.72,,0.0,0.939,0.11,0.0,0.38,0.28,0.41,0.67,0.68,0.5,0.5,0.56,0.47,0.55
1975,act,failure,982,0.62,1.0,0.076,0.002,0.898,0.757,0.013,0.7,0.74,0.56,0.46,0.73,0.53,0.45,0.81,0.6,0.82
1976,act,failure,988,0.51,0.82,,0.0,0.332,0.083,0.0,0.35,0.53,0.44,0.42,0.58,0.58,0.6,0.55,0.54,0.46
1977,act,failure,998,0.4,0.78,,0.0,0.478,0.072,0.008,0.53,0.34,0.41,0.33,0.39,0.33,0.4,0.43,0.38,0.45
1978,act,failure,955,0.49,1.0,0.106,0.004,0.893,0.338,0.0,0.52,0.52,0.45,0.53,0.53,0.5,0.48,0.42,0.43,0.46
1979,smolvla,failure,864,0.33,0.66,,0.0,0.864,0.356,0.18,0.28,0.4,0.28,0.27,0.36,0.3,0.34,0.35,0.36,0.25
1980,smolvla,failure,868,0.37,0.69,,0.0,0.894,0.559,0.002,0.46,0.38,0.32,0.27,0.28,0.37,0.44,0.44,0.33,0.42
1981,smolvla,failure,871,0.34,0.65,,0.0,0.862,0.267,0.043,0.43,0.36,0.26,0.28,0.43,0.39,0.32,0.31,0.28,0.3
1982,smolvla,failure,871,0.39,0.76,,0.0,0.891,0.438,0.584,0.39,0.32,0.3,0.31,0.34,0.46,0.48,0.4,0.42,0.58
1983,smolvla,failure,878,0.3,0.74,,0.0,0.659,0.453,0.056,0.47,0.34,0.28,0.27,0.26,0.28,0.31,0.3,0.31,0.29
1984,smolvla,failure,867,0.47,0.95,,0.0,0.896,0.431,0.792,0.59,0.32,0.53,0.49,0.31,0.45,0.38,0.52,0.6,0.55
1985,smolvla,failure,869,0.28,0.67,,0.0,0.618,0.281,0.824,0.34,0.28,0.24,0.28,0.28,0.27,0.3,0.3,0.25,0.31
1986,smolvla,failure,865,0.45,0.78,,0.0,0.894,0.888,0.654,0.45,0.43,0.55,0.56,0.35,0.34,0.42,0.44,0.58,0.5
1987,smolvla,failure,861,0.48,0.82,,0.0,0.894,0.417,0.488,0.3,0.26,0.43,0.42,0.56,0.5,0.47,0.49,0.54,0.58
1988,smolvla,failure,870,0.46,0.79,,0.0,0.896,0.417,0.39,0.48,0.33,0.42,0.49,0.31,0.46,0.54,0.46,0.51,0.44
1989,smolvla,failure,774,0.36,0.94,,0.0,0.533,0.255,0.191,0.4,0.45,0.38,0.36,0.27,0.37,0.35,0.35,0.41,0.36
1990,smolvla,failure,864,0.36,0.91,,0.0,0.573,0.278,0.072,0.49,0.4,0.28,0.36,0.38,0.33,0.34,0.37,0.36,0.38
1991,smolvla,failure,850,0.48,0.81,,0.0,0.868,0.477,0.792,0.36,0.41,0.44,0.51,0.59,0.55,0.54,0.54,0.4,0.55
1992,smolvla,failure,865,0.46,1.01,0.053,0.005,0.896,0.432,0.003,0.5,0.37,0.32,0.5,0.38,0.51,0.54,0.44,0.53,0.44
1993,smolvla,failure,869,0.44,0.98,0.055,0.001,0.894,0.56,0.275,0.32,0.53,0.48,0.36,0.41,0.51,0.42,0.42,0.45,0.27
1994,smolvla,failure,874,0.35,0.9,,0.0,0.515,0.419,0.889,0.32,0.33,0.4,0.31,0.34,0.27,0.27,0.43,0.5,0.38
1995,smolvla,failure,865,0.26,0.6,,0.0,0.685,0.271,0.792,0.28,0.32,0.24,0.24,0.21,0.25,0.26,0.3,0.33,0.3
1996,smolvla,failure,869,0.27,0.54,,0.0,0.685,0.304,0.05,0.3,0.36,0.21,0.18,0.24,0.27,0.25,0.31,0.35,0.32
1997,smolvla,failure,872,0.28,0.56,,0.0,0.685,0.309,0.618,0.25,0.32,0.21,0.23,0.21,0.31,0.35,0.37,0.32,0.41
1998,smolvla,failure,871,0.26,0.67,,0.0,0.866,0.401,0.407,0.32,0.34,0.2,0.27,0.14,0.29,0.3,0.22,0.21,0.24
1999,smolvla,failure,862,0.26,0.55,,0.0,0.763,0.453,0.045,0.36,0.23,0.21,0.29,0.34,0.31,0.19,0.27,0.24,0.23
2000,smolvla,failure,865,0.37,0.75,,0.0,0.896,0.888,0.053,0.31,0.38,0.27,0.39,0.3,0.33,0.57,0.43,0.36,0.42
2001,smolvla,failure,868,0.42,0.79,,0.0,0.862,0.429,0.862,0.45,0.32,0.35,0.42,0.43,0.47,0.6,0.45,0.37,0.45
2002,smolvla,failure,871,0.52,0.89,,0.0,0.898,0.658,0.008,0.62,0.57,0.56,0.64,0.43,0.49,0.58,0.56,0.42,0.53
2003,smolvla,failure,866,0.38,0.78,,0.0,0.862,0.42,0.0,0.44,0.29,0.37,0.42,0.4,0.4,0.37,0.37,0.46,0.3
2004,smolvla,failure,869,0.42,0.81,,0.0,0.87,0.61,0.005,0.63,0.34,0.54,0.53,0.45,0.4,0.39,0.39,0.38,0.28
2005,smolvla,failure,873,0.43,0.79,,0.0,0.862,0.426,0.443,0.56,0.4,0.41,0.45,0.55,0.39,0.35,0.44,0.5,0.4
2006,smolvla,failure,875,0.48,0.73,,0.0,0.896,0.89,0.884,0.36,0.36,0.42,0.57,0.57,0.48,0.48,0.49,0.57,0.45
2007,smolvla,failure,875,0.42,0.75,,0.0,0.896,0.42,0.64,0.31,0.38,0.37,0.39,0.34,0.36,0.48,0.49,0.62,0.61
2008,smolvla,failure,876,0.42,0.86,,0.0,0.896,0.658,0.283,0.35,0.39,0.48,0.4,0.43,0.38,0.41,0.48,0.33,0.5
2009,molmoact2,failure,432,0.49,0.68,,0.0,0.463,0.254,0.643,0.36,0.38,0.5,0.47,0.53,0.5,0.58,0.46,0.58,0.56
2010,molmoact2,failure,429,0.37,0.57,,0.0,0.579,0.564,0.561,0.43,0.38,0.41,0.29,0.39,0.46,0.39,0.35,0.35,0.36
2011,molmoact2,failure,449,0.42,0.68,,0.0,0.582,0.231,0.587,0.36,0.38,0.37,0.49,0.44,0.41,0.44,0.36,0.54,0.29
2012,molmoact2,failure,424,0.39,0.67,,0.0,0.198,0.14,0.943,0.36,0.28,0.33,0.33,0.34,0.38,0.56,0.58,0.53,0.41
2013,molmoact2,failure,449,0.44,0.72,,0.0,0.461,0.285,0.868,0.31,0.28,0.63,0.32,0.43,0.42,0.48,0.44,0.51,0.48
2014,molmoact2,failure,429,0.45,0.71,,0.0,0.46,0.285,0.848,0.39,0.34,0.57,0.56,0.37,0.49,0.44,0.44,0.47,0.45
2015,molmoact2,failure,448,0.45,0.61,,0.0,0.473,0.22,0.984,0.39,0.47,0.55,0.47,0.46,0.3,0.45,0.42,0.47,0.44
2016,molmoact2,failure,445,0.47,0.71,,0.0,0.738,0.213,0.367,0.38,0.4,0.61,0.48,0.62,0.54,0.47,0.38,0.47,0.43
2017,molmoact2,failure,450,0.43,0.67,,0.0,0.46,0.209,0.287,0.4,0.46,0.48,0.47,0.41,0.38,0.42,0.42,0.41,0.43
2018,molmoact2,failure,421,0.2,0.61,,0.0,0.776,0.763,0.752,0.37,0.46,0.46,0.34,0.44,0.11,0.1,0.16,0.13,0.18
2019,molmoact2,failure,414,0.39,0.65,,0.0,0.724,0.52,0.688,0.38,0.42,0.57,0.56,0.57,0.45,0.29,0.3,0.22,0.22
2020,molmoact2,failure,414,0.29,0.69,,0.0,0.722,0.715,0.935,0.38,0.4,0.58,0.57,0.5,0.21,0.21,0.18,0.21,0.29
2021,molmoact2,failure,415,0.26,0.62,,0.0,0.729,0.722,0.396,0.39,0.45,0.38,0.46,0.27,0.25,0.2,0.2,0.17,0.13
2022,molmoact2,failure,393,0.25,0.62,,0.0,0.746,0.722,0.599,0.35,0.43,0.45,0.49,0.21,0.17,0.16,0.17,0.21,0.27
2023,molmoact2,failure,415,0.19,0.67,,0.0,0.765,0.732,0.57,0.35,0.37,0.45,0.54,0.21,0.15,0.17,0.11,0.16,0.13
2024,molmoact2,failure,244,0.34,0.6,,0.0,0.159,0.143,0.86,0.31,0.35,0.3,0.39,0.4,0.28,0.36,0.31,0.36,0.36
2025,molmoact2,failure,261,0.48,0.58,,0.0,0.2,0.162,0.765,0.36,0.4,0.48,0.39,0.52,0.51,0.48,0.49,0.53,0.43
2026,molmoact2,failure,383,0.3,0.6,,0.0,0.182,0.14,0.935,0.39,0.37,0.31,0.31,0.3,0.3,0.29,0.29,0.3,0.29
2027,molmoact2,failure,85,0.35,0.61,,0.0,0.119,0.091,0.988,0.35,0.51,0.31,0.37,0.35,0.31,0.28,0.36,0.39,0.31
2028,molmoact2,failure,264,0.43,0.63,,0.0,0.469,0.115,0.928,0.39,0.38,0.39,0.33,0.5,0.46,0.36,0.48,0.42,0.47
2029,molmoact2,failure,106,0.39,0.62,,0.0,0.141,0.1,0.905,0.35,0.48,0.41,0.36,0.27,0.32,0.53,0.45,0.41,0.38
2030,molmoact2,failure,413,0.34,0.6,,0.0,0.137,0.1,0.354,0.38,0.37,0.35,0.33,0.33,0.34,0.33,0.34,0.36,0.32
2031,molmoact2,failure,173,0.43,0.56,,0.0,0.14,0.099,0.517,0.38,0.37,0.45,0.41,0.46,0.5,0.43,0.43,0.37,0.38
2032,molmoact2,failure,321,0.36,0.61,,0.0,0.135,0.063,0.369,0.39,0.35,0.39,0.41,0.39,0.27,0.32,0.32,0.32,0.35
2033,molmoact2,failure,414,0.42,0.69,,0.0,0.461,0.285,0.191,0.36,0.49,0.42,0.55,0.37,0.36,0.42,0.44,0.42,0.47
2034,molmoact2,failure,427,0.46,0.65,,0.0,0.411,0.119,0.775,0.37,0.37,0.34,0.53,0.44,0.52,0.48,0.57,0.45,0.37
2035,molmoact2,failure,421,0.41,0.75,,0.0,0.217,0.2,0.426,0.33,0.34,0.37,0.43,0.49,0.31,0.57,0.35,0.36,0.5
2036,molmoact2,failure,418,0.4,0.73,,0.0,0.461,0.423,0.859,0.32,0.24,0.39,0.61,0.29,0.3,0.36,0.41,0.43,0.54
2037,molmoact2,failure,419,0.37,0.63,,0.0,0.462,0.207,0.569,0.37,0.41,0.36,0.3,0.3,0.42,0.41,0.45,0.36,0.42
2038,molmoact2,failure,421,0.37,0.72,,0.0,0.911,0.391,0.39,0.32,0.21,0.36,0.57,0.35,0.57,0.45,0.39,0.33,0.39
2039,molmoact2,failure,1018,0.28,0.65,,0.0,0.584,0.304,0.002,0.34,0.53,0.42,0.39,0.35,0.25,0.2,0.2,0.21,0.25
2040,molmoact2,failure,1021,0.36,0.9,,0.0,0.833,0.685,0.004,0.24,0.45,0.34,0.26,0.32,0.35,0.54,0.44,0.44,0.22
2041,molmoact2,failure,1021,0.27,0.59,,0.0,0.598,0.224,0.01,0.37,0.5,0.42,0.36,0.23,0.31,0.26,0.27,0.16,0.16
2042,molmoact2,failure,1025,0.16,0.64,,0.0,0.999,0.981,0.679,0.24,0.48,0.41,0.32,0.25,0.22,0.02,0.02,0.02,0.02
2043,molmoact2,failure,1022,0.28,0.78,,0.0,0.971,0.896,0.941,0.23,0.32,0.35,0.25,0.24,0.32,0.29,0.38,0.43,0.01
2044,molmoact2,failure,615,0.02,0.56,,0.0,0.999,0.963,0.731,0.34,0.19,0.04,0.02,0.02,0.01,0.02,0.02,0.02,0.03
2045,molmoact2,failure,586,0.02,0.56,,0.0,0.996,0.996,0.67,0.44,0.42,0.39,0.29,0.27,0.02,0.01,0.01,0.02,0.02
2046,molmoact2,failure,464,0.22,0.61,,0.0,0.974,0.972,0.011,0.35,0.36,0.25,0.29,0.23,0.21,0.24,0.08,0.01,0.01
2047,molmoact2,failure,573,0.21,0.56,,0.0,0.984,0.011,0.677,0.05,0.31,0.36,0.29,0.35,0.3,0.05,0.02,0.02,0.02
2048,molmoact2,failure,865,0.2,0.54,,0.0,0.765,0.707,0.0,0.32,0.36,0.11,0.13,0.16,0.16,0.16,0.21,0.27,0.29
2049,molmoact2,failure,1018,0.26,0.65,,0.0,0.952,0.704,0.5,0.31,0.34,0.16,0.14,0.22,0.34,0.48,0.25,0.32,0.18
2050,molmoact2,failure,642,0.2,0.62,,0.0,0.989,0.92,0.903,0.1,0.48,0.37,0.39,0.36,0.19,0.12,0.14,0.09,0.02
2051,molmoact2,failure,1002,0.31,0.63,,0.0,0.831,0.793,0.0,0.35,0.48,0.29,0.4,0.5,0.28,0.28,0.28,0.28,0.29
2052,molmoact2,failure,382,0.21,0.65,,0.0,0.946,0.031,0.845,0.08,0.5,0.38,0.33,0.26,0.21,0.18,0.19,0.03,0.01
2053,molmoact2,failure,1016,0.17,0.49,,0.0,0.791,0.767,0.003,0.37,0.38,0.37,0.19,0.12,0.15,0.15,0.17,0.17,0.18
2054,molmoact2,failure,631,0.03,0.67,,0.0,1.0,0.988,0.286,0.32,0.43,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
2055,molmoact2,failure,137,0.29,0.63,,0.0,0.967,0.502,0.081,0.02,0.22,0.5,0.45,0.49,0.35,0.26,0.33,0.23,0.19
2056,molmoact2,failure,841,0.33,0.75,,0.0,0.966,0.669,0.013,0.42,0.49,0.31,0.25,0.28,0.39,0.1,0.37,0.44,0.07
2057,molmoact2,failure,789,0.28,0.57,,0.0,0.689,0.528,0.003,0.25,0.33,0.34,0.34,0.22,0.23,0.24,0.18,0.28,0.29
2058,molmoact2,failure,224,0.38,0.76,,0.0,0.9,0.271,0.018,0.02,0.07,0.52,0.49,0.35,0.46,0.36,0.4,0.4,0.35
2059,molmoact2,failure,1016,0.37,0.62,,0.0,0.868,0.786,0.008,0.32,0.37,0.37,0.36,0.31,0.27,0.36,0.42,0.38,0.52
2060,molmoact2,failure,154,0.34,0.85,,0.0,0.957,0.934,0.967,0.02,0.22,0.47,0.53,0.53,0.52,0.51,0.23,0.08,0.04
2061,molmoact2,failure,1007,0.34,0.63,,0.0,0.87,0.583,0.013,0.23,0.49,0.36,0.33,0.29,0.28,0.42,0.39,0.33,0.33
2062,molmoact2,failure,229,0.29,0.98,0.175,0.013,0.962,0.011,0.018,0.03,0.6,0.61,0.5,0.43,0.56,0.21,0.06,0.04,0.03
2063,molmoact2,failure,1021,0.61,0.97,0.348,0.001,0.786,0.42,0.018,0.36,0.54,0.66,0.71,0.69,0.66,0.63,0.37,0.29,0.43
2064,molmoact2,failure,1017,0.31,0.87,,0.0,0.971,0.902,0.862,0.55,0.4,0.31,0.27,0.27,0.35,0.46,0.41,0.03,0.01
2065,molmoact2,failure,1015,0.42,0.7,,0.0,0.855,0.803,0.002,0.39,0.47,0.39,0.46,0.43,0.54,0.49,0.39,0.34,0.28
