policy,perturbation,frames,delta_shoulder_pan,delta_shoulder_lift,delta_elbow_flex,delta_wrist_flex,delta_wrist_roll,delta_gripper,delta_mean,relative_mean,relative_gripper,gripper_flip_rate,natural_shoulder_pan,natural_shoulder_lift,natural_elbow_flex,natural_wrist_flex,natural_wrist_roll,natural_gripper,sigma_shoulder_pan,sigma_shoulder_lift,sigma_elbow_flex,sigma_wrist_flex,sigma_wrist_roll,sigma_gripper
act,top_rotate_5deg,387,0.765,0.917,1.058,0.735,0.557,0.529,0.76,0.665,0.556,0.0052,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_blank,387,3.604,5.939,7.276,3.716,2.792,2.086,4.236,3.511,2.194,0.0439,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,top_uniform,387,3.605,5.976,7.493,3.932,2.777,2.12,4.317,3.578,2.23,0.0413,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_shift_x_20,387,0.181,0.304,0.377,0.208,0.283,0.163,0.253,0.221,0.172,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_shift_x_40,387,0.187,0.344,0.372,0.214,0.367,0.157,0.274,0.243,0.165,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_shift_x_80,387,0.248,0.454,0.501,0.298,0.59,0.231,0.387,0.35,0.243,0.0026,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_shift_y_40,387,0.237,0.582,0.588,0.376,0.353,0.235,0.395,0.335,0.247,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_zoom_out_10pct,387,0.497,1.045,1.149,0.487,0.684,0.557,0.736,0.623,0.586,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_zoom_in_10pct,387,0.421,0.868,0.948,0.476,0.6,0.405,0.62,0.528,0.426,0.0,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_rotate_5deg,387,0.408,0.681,0.713,0.508,0.56,0.273,0.524,0.46,0.287,0.0026,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_blank,387,3.816,7.846,8.343,5.859,3.737,5.005,5.768,4.924,5.265,0.0362,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,wrist_uniform,387,3.711,7.775,8.702,5.423,3.939,4.259,5.635,4.763,4.479,0.0284,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,all_dark_30pct,387,0.386,0.665,0.855,0.536,0.503,0.343,0.548,0.474,0.361,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,all_bright_30pct,387,0.653,1.029,1.049,0.804,0.804,0.545,0.814,0.72,0.573,0.0103,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
act,all_blur_sigma2,387,2.135,3.252,3.641,2.848,3.028,1.968,2.812,2.517,2.07,0.0465,0.924,1.766,1.75,0.921,0.817,0.951,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,identity,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,resample,387,0.269,0.845,0.7,0.534,0.241,0.299,0.481,0.456,0.357,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,shift_1px,387,0.211,0.321,0.379,0.217,0.205,0.212,0.257,0.258,0.253,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_aspect_4_3,387,0.726,1.128,1.498,0.876,0.824,0.753,0.967,0.977,0.901,0.0155,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_shift_x_20,387,0.654,1.094,1.421,0.882,0.811,0.816,0.946,0.963,0.976,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_shift_x_40,387,0.733,1.145,1.52,0.904,0.824,0.754,0.98,0.989,0.902,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_shift_x_80,387,0.926,1.363,1.806,1.174,0.91,1.01,1.198,1.214,1.208,0.0129,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_shift_y_40,387,0.907,1.402,1.667,1.103,0.972,0.986,1.173,1.195,1.179,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_zoom_out_10pct,387,0.833,1.314,1.806,1.069,1.004,1.007,1.172,1.191,1.205,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_zoom_in_10pct,387,0.76,1.163,1.497,0.982,0.893,0.813,1.018,1.041,0.972,0.0078,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_rotate_5deg,387,0.72,1.089,1.414,0.973,0.828,0.741,0.961,0.984,0.886,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_blank,387,1.375,2.778,3.449,1.64,1.438,1.376,2.009,1.936,1.645,0.0207,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,front_uniform,387,1.415,3.058,3.741,1.74,1.471,1.279,2.117,2.016,1.53,0.0181,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_shift_x_20,387,0.456,0.635,0.725,0.415,0.462,0.442,0.522,0.532,0.528,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_shift_x_40,387,0.501,0.715,0.847,0.484,0.511,0.494,0.592,0.601,0.59,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_shift_x_80,387,0.699,0.828,1.008,0.59,0.659,0.669,0.742,0.765,0.799,0.0078,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_shift_y_40,387,0.544,0.767,0.813,0.472,0.48,0.534,0.602,0.608,0.638,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_zoom_out_10pct,387,0.537,0.785,0.878,0.601,0.514,0.591,0.651,0.665,0.707,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_zoom_in_10pct,387,0.511,0.729,0.802,0.548,0.522,0.561,0.612,0.63,0.67,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_rotate_5deg,387,0.475,0.723,0.858,0.556,0.494,0.516,0.604,0.614,0.617,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_blank,387,1.118,1.767,2.069,1.203,1.087,1.25,1.416,1.421,1.495,0.0129,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,top_uniform,387,1.19,1.787,2.195,1.42,1.077,1.355,1.504,1.517,1.621,0.0207,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_shift_x_20,387,0.252,0.43,0.464,0.227,0.21,0.303,0.314,0.308,0.362,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_shift_x_40,387,0.196,0.359,0.354,0.168,0.167,0.245,0.248,0.242,0.293,0.0078,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_shift_x_80,387,0.267,0.456,0.443,0.228,0.232,0.339,0.328,0.325,0.406,0.0129,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_shift_y_40,387,0.268,0.48,0.492,0.237,0.229,0.275,0.33,0.321,0.328,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_zoom_out_10pct,387,0.341,0.603,0.58,0.286,0.29,0.397,0.416,0.409,0.475,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_zoom_in_10pct,387,0.325,0.488,0.494,0.276,0.269,0.339,0.365,0.365,0.405,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_rotate_5deg,387,0.285,0.489,0.498,0.273,0.245,0.287,0.346,0.341,0.343,0.0026,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_blank,387,1.359,1.95,2.134,1.031,0.883,1.167,1.421,1.384,1.395,0.0078,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,wrist_uniform,387,1.252,2.125,2.072,0.979,0.83,1.275,1.422,1.371,1.525,0.0129,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,all_dark_30pct,387,0.428,0.63,0.761,0.46,0.397,0.467,0.524,0.529,0.558,0.0078,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,all_bright_30pct,387,0.598,0.889,1.095,0.603,0.643,0.633,0.743,0.753,0.757,0.0052,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
smolvla,all_blur_sigma2,387,1.067,1.826,1.966,1.11,1.057,1.427,1.409,1.413,1.706,0.0103,0.865,1.621,1.566,0.739,0.639,0.836,18.86,47.64,49.1,17.08,16.38,14.42
