episode,task,policy,outcome,frames,seconds,closures,closures_per_s,closed_frac
51,ring_insert,act,failure,449,22.4,6,0.2673,0.67
52,ring_insert,act,failure,464,23.2,8,0.3448,0.56
53,ring_insert,act,failure,463,23.1,7,0.3024,0.609
54,ring_insert,act,failure,464,23.2,9,0.3879,0.565
55,ring_insert,act,failure,466,23.3,7,0.3004,0.384
56,ring_insert,act,successful,246,12.3,3,0.2439,0.748
57,ring_insert,act,failure,469,23.4,9,0.3838,0.593
58,ring_insert,act,failure,465,23.2,10,0.4301,0.568
59,ring_insert,act,failure,444,22.2,9,0.4054,0.543
60,ring_insert,smolvla,failure,549,27.4,8,0.2914,0.454
61,ring_insert,smolvla,failure,551,27.6,7,0.2541,0.563
62,ring_insert,smolvla,successful,236,11.8,3,0.2542,0.767
63,ring_insert,smolvla,failure,563,28.1,11,0.3908,0.481
64,ring_insert,smolvla,successful,365,18.2,5,0.274,0.699
65,ring_insert,smolvla,failure,569,28.4,8,0.2812,0.631
66,ring_insert,smolvla,failure,555,27.8,9,0.3243,0.55
67,ring_insert,smolvla,successful,210,10.5,3,0.2857,0.748
68,ring_insert,smolvla,failure,575,28.8,8,0.2783,0.555
69,ring_insert,smolvla,failure,554,27.7,7,0.2527,0.588
70,ring_insert,smolvla,failure,554,27.7,6,0.2166,0.57
71,ring_insert,smolvla,failure,558,27.9,9,0.3226,0.588
72,ring_insert,smolvla,successful,246,12.3,3,0.2439,0.772
73,ring_insert,smolvla,failure,562,28.1,7,0.2491,0.71
74,ring_insert,smolvla,successful,240,12.0,3,0.25,0.75
75,ring_insert,smolvla,failure,556,27.8,10,0.3597,0.432
76,ring_insert,smolvla,successful,250,12.5,3,0.24,0.744
77,ring_insert,smolvla,failure,546,27.3,5,0.1832,0.705
78,ring_insert,smolvla,failure,545,27.2,4,0.1468,0.844
79,ring_insert,smolvla,successful,250,12.5,3,0.24,0.748
80,ring_insert,smolvla,failure,554,27.7,8,0.2888,0.543
81,ring_insert,smolvla,failure,559,27.9,6,0.2147,0.707
82,ring_insert,smolvla,failure,549,27.4,12,0.4372,0.435
83,ring_insert,smolvla,failure,555,27.8,7,0.2523,0.596
84,ring_insert,smolvla,successful,192,9.6,3,0.3125,0.688
85,ring_insert,smolvla,successful,400,20.0,4,0.2,0.748
86,ring_insert,smolvla,successful,210,10.5,3,0.2857,0.743
87,ring_insert,smolvla,successful,200,10.0,3,0.3,0.71
88,ring_insert,smolvla,successful,220,11.0,3,0.2727,0.695
89,ring_insert,smolvla,failure,542,27.1,11,0.4059,0.43
90,ring_insert,smolvla,successful,204,10.2,3,0.2941,0.721
91,ring_insert,smolvla,failure,575,28.8,10,0.3478,0.595
92,ring_insert,smolvla,successful,200,10.0,3,0.3,0.72
93,ring_insert,smolvla,failure,557,27.9,11,0.395,0.51
94,ring_insert,smolvla,failure,576,28.8,7,0.2431,0.741
95,ring_insert,smolvla,failure,561,28.1,13,0.4635,0.581
96,ring_insert,smolvla,failure,564,28.2,10,0.3546,0.589
97,ring_insert,smolvla,failure,569,28.4,11,0.3866,0.431
98,ring_insert,smolvla,failure,575,28.8,10,0.3478,0.417
99,ring_insert,smolvla,successful,220,11.0,3,0.2727,0.745
100,ring_insert,smolvla,failure,570,28.5,11,0.386,0.568
101,ring_insert,smolvla,failure,566,28.3,11,0.3887,0.451
102,ring_insert,smolvla,failure,550,27.5,10,0.3636,0.502
103,ring_insert,smolvla,successful,216,10.8,3,0.2778,0.694
104,ring_insert,smolvla,successful,200,10.0,3,0.3,0.735
105,ring_insert,molmoact2,failure,423,21.1,10,0.4728,0.416
106,ring_insert,molmoact2,failure,460,23.0,12,0.5217,0.335
107,ring_insert,molmoact2,successful,280,14.0,5,0.3571,0.646
108,ring_insert,molmoact2,failure,441,22.1,11,0.4989,0.492
109,ring_insert,molmoact2,failure,459,22.9,10,0.4357,0.438
110,ring_insert,molmoact2,failure,474,23.7,13,0.5485,0.532
111,ring_insert,molmoact2,failure,438,21.9,12,0.5479,0.463
112,ring_insert,molmoact2,failure,434,21.7,12,0.553,0.366
113,ring_insert,molmoact2,failure,434,21.7,11,0.5069,0.38
114,ring_insert,molmoact2,failure,437,21.9,13,0.595,0.346
115,ring_insert,molmoact2,failure,451,22.6,11,0.4878,0.468
116,ring_insert,molmoact2,failure,437,21.9,7,0.3204,0.517
117,ring_insert,molmoact2,failure,421,21.1,13,0.6176,0.33
118,ring_insert,molmoact2,failure,430,21.5,12,0.5581,0.395
119,ring_insert,molmoact2,failure,481,24.1,3,0.1247,0.503
120,ring_insert,molmoact2,failure,450,22.5,14,0.6222,0.447
121,ring_insert,molmoact2,failure,451,22.6,14,0.6208,0.486
122,ring_insert,molmoact2,failure,439,21.9,13,0.5923,0.431
123,ring_insert,molmoact2,failure,459,22.9,10,0.4357,0.412
124,ring_insert,molmoact2,failure,432,21.6,12,0.5556,0.454
125,ring_insert,molmoact2,successful,198,9.9,3,0.303,0.737
126,ring_insert,molmoact2,failure,451,22.6,14,0.6208,0.45
127,ring_insert,molmoact2,failure,434,21.7,13,0.5991,0.491
128,ring_insert,molmoact2,failure,451,22.6,11,0.4878,0.439
129,ring_insert,molmoact2,failure,442,22.1,10,0.4525,0.452
130,ring_insert,molmoact2,failure,456,22.8,9,0.3947,0.471
131,ring_insert,molmoact2,failure,478,23.9,11,0.4603,0.427
132,ring_insert,molmoact2,failure,468,23.4,11,0.4701,0.41
133,ring_insert,molmoact2,failure,451,22.6,10,0.4435,0.47
134,ring_insert,molmoact2,failure,477,23.9,12,0.5031,0.453
135,ring_insert,molmoact2,failure,460,23.0,6,0.2609,0.559
136,ring_insert,molmoact2,failure,486,24.3,14,0.5761,0.372
137,ring_insert,molmoact2,failure,499,24.9,14,0.5611,0.393
138,ring_insert,molmoact2,successful,238,11.9,4,0.3361,0.676
139,ring_insert,molmoact2,failure,492,24.6,14,0.5691,0.445
140,ring_insert,molmoact2,failure,467,23.4,14,0.5996,0.531
141,ring_insert,molmoact2,failure,450,22.5,12,0.5333,0.438
142,ring_insert,molmoact2,failure,435,21.8,10,0.4598,0.485
143,ring_insert,molmoact2,successful,235,11.8,3,0.2553,0.745
144,ring_insert,molmoact2,failure,431,21.6,6,0.2784,0.666
145,ring_insert,molmoact2,failure,433,21.6,5,0.2309,0.721
146,ring_insert,molmoact2,failure,450,22.5,12,0.5333,0.46
147,ring_insert,molmoact2,failure,471,23.6,8,0.3397,0.414
148,ring_insert,molmoact2,failure,218,10.9,3,0.2752,0.752
149,ring_insert,molmoact2,failure,443,22.1,12,0.5418,0.438
150,ring_insert,molmoact2,failure,447,22.4,6,0.2685,0.732
151,ring_insert,molmoact2,failure,527,26.4,9,0.3416,0.67
152,ring_insert,molmoact2,failure,523,26.1,9,0.3442,0.707
153,ring_insert,molmoact2,failure,511,25.6,11,0.4305,0.509
154,ring_insert,molmoact2,failure,521,26.1,8,0.3071,0.649
155,ring_insert,molmoact2,failure,479,23.9,9,0.3758,0.664
156,ring_insert,molmoact2,successful,217,10.8,3,0.2765,0.811
157,ring_insert,molmoact2,failure,451,22.6,12,0.5322,0.424
158,ring_insert,molmoact2,failure,462,23.1,11,0.4762,0.483
159,ring_insert,molmoact2,failure,407,20.4,12,0.5897,0.452
160,ring_insert,molmoact2,successful,239,11.9,3,0.251,0.787
161,ring_insert,molmoact2,failure,436,21.8,12,0.5505,0.491
162,ring_insert,molmoact2,failure,430,21.5,12,0.5581,0.46
163,ring_insert,molmoact2,failure,416,20.8,10,0.4808,0.476
164,ring_insert,molmoact2,failure,420,21.0,11,0.5238,0.462
165,ring_insert,grootn1.7,successful,192,9.6,4,0.4167,0.698
166,ring_insert,grootn1.7,successful,210,10.5,3,0.2857,0.557
167,ring_insert,grootn1.7,successful,230,11.5,3,0.2609,0.691
168,ring_insert,grootn1.7,successful,236,11.8,3,0.2542,0.831
169,ring_insert,grootn1.7,successful,229,11.4,3,0.262,0.69
170,ring_insert,grootn1.7,failure,449,22.4,6,0.2673,0.641
171,ring_insert,grootn1.7,successful,340,17.0,4,0.2353,0.621
172,ring_insert,grootn1.7,successful,304,15.2,4,0.2632,0.424
173,ring_insert,grootn1.7,failure,460,23.0,5,0.2174,0.317
174,ring_insert,grootn1.7,failure,452,22.6,9,0.3982,0.396
175,ring_insert,grootn1.7,successful,209,10.4,3,0.2871,0.727
176,ring_insert,grootn1.7,failure,449,22.4,3,0.1336,0.14
177,ring_insert,grootn1.7,successful,202,10.1,3,0.297,0.718
178,ring_insert,grootn1.7,successful,260,13.0,4,0.3077,0.715
179,ring_insert,grootn1.7,successful,250,12.5,3,0.24,0.876
180,ring_insert,grootn1.7,successful,204,10.2,3,0.2941,0.77
181,ring_insert,grootn1.7,failure,433,21.6,7,0.3233,0.397
182,ring_insert,grootn1.7,failure,424,21.2,6,0.283,0.528
183,ring_insert,grootn1.7,successful,223,11.2,3,0.2691,0.776
184,ring_insert,grootn1.7,successful,236,11.8,4,0.339,0.686
185,ring_insert,grootn1.7,failure,433,21.6,10,0.4619,0.61
186,ring_insert,grootn1.7,successful,250,12.5,4,0.32,0.62
187,ring_insert,grootn1.7,successful,360,18.0,8,0.4444,0.589
188,ring_insert,grootn1.7,successful,224,11.2,3,0.2679,0.737
189,ring_insert,grootn1.7,failure,429,21.4,8,0.373,0.65
190,ring_insert,grootn1.7,failure,420,21.0,6,0.2857,0.474
191,ring_insert,grootn1.7,failure,433,21.6,4,0.1848,0.356
192,ring_insert,grootn1.7,successful,273,13.7,3,0.2198,0.601
193,ring_insert,grootn1.7,failure,431,21.6,4,0.1856,0.633
194,ring_insert,grootn1.7,failure,432,21.6,9,0.4167,0.373
195,ring_insert,pi0,successful,224,11.2,4,0.3571,0.679
196,ring_insert,pi0,failure,556,27.8,8,0.2878,0.511
197,ring_insert,pi0,failure,539,26.9,10,0.3711,0.531
198,ring_insert,pi0,successful,328,16.4,6,0.3659,0.579
199,ring_insert,pi0,failure,561,28.1,11,0.3922,0.39
200,ring_insert,pi0,failure,536,26.8,10,0.3731,0.356
201,ring_insert,pi0,failure,557,27.9,11,0.395,0.312
202,ring_insert,pi0,failure,564,28.2,10,0.3546,0.307
203,ring_insert,pi0,failure,551,27.6,13,0.4719,0.216
204,ring_insert,pi0,failure,562,28.1,7,0.2491,0.555
205,ring_insert,pi0,failure,568,28.4,8,0.2817,0.595
206,ring_insert,pi0,failure,557,27.9,7,0.2513,0.688
207,ring_insert,pi0,failure,548,27.4,7,0.2555,0.619
208,ring_insert,pi0,failure,542,27.1,9,0.3321,0.498
209,ring_insert,pi0,failure,566,28.3,9,0.318,0.532
210,ring_insert,pi0,failure,576,28.8,13,0.4514,0.293
211,ring_insert,pi0,failure,580,29.0,10,0.3448,0.584
212,ring_insert,pi0,failure,571,28.6,11,0.3853,0.363
213,ring_insert,pi0,failure,576,28.8,10,0.3472,0.566
214,ring_insert,pi0,successful,470,23.5,8,0.3404,0.685
215,ring_insert,pi0,failure,576,28.8,12,0.4167,0.408
216,ring_insert,pi0,failure,582,29.1,10,0.3436,0.287
217,ring_insert,pi0,successful,536,26.8,7,0.2612,0.61
218,ring_insert,pi0,successful,310,15.5,3,0.1935,0.835
219,ring_insert,pi0,failure,557,27.9,7,0.2513,0.628
220,ring_insert,pi0,failure,574,28.7,8,0.2787,0.561
221,ring_insert,pi0,failure,568,28.4,6,0.2113,0.715
222,ring_insert,pi0,failure,566,28.3,7,0.2473,0.521
223,ring_insert,pi0,failure,532,26.6,6,0.2256,0.622
224,ring_insert,pi0,failure,544,27.2,9,0.3309,0.603
225,ring_insert,pi0.5,successful,426,21.3,7,0.3286,0.563
226,ring_insert,pi0.5,failure,568,28.4,12,0.4225,0.389
227,ring_insert,pi0.5,successful,380,19.0,7,0.3684,0.508
228,ring_insert,pi0.5,successful,200,10.0,3,0.3,0.8
229,ring_insert,pi0.5,successful,467,23.4,5,0.2141,0.709
230,ring_insert,pi0.5,successful,204,10.2,3,0.2941,0.77
231,ring_insert,pi0.5,failure,567,28.4,7,0.2469,0.665
232,ring_insert,pi0.5,failure,545,27.2,10,0.367,0.29
233,ring_insert,pi0.5,failure,572,28.6,7,0.2448,0.696
234,ring_insert,pi0.5,failure,541,27.1,7,0.2588,0.643
235,ring_insert,pi0.5,failure,551,27.6,8,0.2904,0.499
236,ring_insert,pi0.5,successful,400,20.0,6,0.3,0.708
237,ring_insert,pi0.5,failure,576,28.8,9,0.3125,0.564
238,ring_insert,pi0.5,successful,304,15.2,3,0.1974,0.839
239,ring_insert,pi0.5,successful,216,10.8,3,0.2778,0.819
240,ring_insert,pi0.5,successful,184,9.2,3,0.3261,0.772
241,ring_insert,pi0.5,successful,200,10.0,3,0.3,0.765
242,ring_insert,pi0.5,successful,196,9.8,3,0.3061,0.791
243,ring_insert,pi0.5,failure,572,28.6,10,0.3497,0.465
244,ring_insert,pi0.5,successful,530,26.5,11,0.4151,0.53
245,ring_insert,pi0.5,failure,561,28.1,9,0.3209,0.572
246,ring_insert,pi0.5,failure,555,27.8,9,0.3243,0.602
247,ring_insert,pi0.5,failure,569,28.4,5,0.1757,0.478
248,ring_insert,pi0.5,failure,574,28.7,6,0.2091,0.683
249,ring_insert,pi0.5,failure,557,27.9,9,0.3232,0.474
250,ring_insert,pi0.5,successful,429,21.4,5,0.2331,0.713
251,ring_insert,pi0.5,failure,532,26.6,10,0.3759,0.35
252,ring_insert,pi0.5,failure,539,26.9,6,0.2226,0.709
253,ring_insert,pi0.5,successful,224,11.2,5,0.4464,0.817
254,ring_insert,pi0.5,failure,559,27.9,8,0.2862,0.24
255,ring_insert,teleoperated,successful,231,11.6,3,0.2597,0.706
256,ring_insert,teleoperated,successful,216,10.8,3,0.2778,0.634
257,ring_insert,teleoperated,successful,190,9.5,3,0.3158,0.747
258,ring_insert,teleoperated,successful,241,12.1,4,0.332,0.689
259,ring_insert,teleoperated,successful,186,9.3,3,0.3226,0.683
260,ring_insert,teleoperated,successful,195,9.8,3,0.3077,0.692
261,ring_insert,teleoperated,successful,228,11.4,3,0.2632,0.794
262,ring_insert,teleoperated,successful,210,10.5,3,0.2857,0.7
263,ring_insert,teleoperated,successful,258,12.9,3,0.2326,0.829
264,ring_insert,teleoperated,successful,200,10.0,3,0.3,0.74
265,ring_insert,teleoperated,successful,228,11.4,3,0.2632,0.667
266,ring_insert,teleoperated,successful,260,13.0,3,0.2308,0.638
267,ring_insert,teleoperated,successful,208,10.4,3,0.2885,0.702
268,ring_insert,teleoperated,successful,230,11.5,3,0.2609,0.709
269,ring_insert,teleoperated,successful,235,11.8,3,0.2553,0.706
270,ring_insert,teleoperated,successful,218,10.9,3,0.2752,0.784
271,ring_insert,teleoperated,successful,227,11.3,3,0.2643,0.78
272,ring_insert,teleoperated,successful,294,14.7,4,0.2721,0.667
273,ring_insert,teleoperated,successful,211,10.6,3,0.2844,0.787
274,ring_insert,teleoperated,successful,218,10.9,3,0.2752,0.647
275,ring_insert,teleoperated,successful,225,11.2,4,0.3556,0.671
276,ring_insert,teleoperated,successful,240,12.0,3,0.25,0.804
277,ring_insert,teleoperated,successful,227,11.3,3,0.2643,0.824
278,ring_insert,teleoperated,successful,233,11.7,3,0.2575,0.773
279,ring_insert,teleoperated,successful,207,10.3,3,0.2899,0.729
280,ring_insert,teleoperated,successful,223,11.2,3,0.2691,0.785
281,ring_insert,teleoperated,successful,202,10.1,3,0.297,0.713
282,ring_insert,teleoperated,successful,222,11.1,3,0.2703,0.73
283,ring_insert,teleoperated,successful,238,11.9,3,0.2521,0.613
284,ring_insert,teleoperated,successful,184,9.2,3,0.3261,0.734
285,ring_insert,teleoperated,successful,180,9.0,3,0.3333,0.817
286,ring_insert,teleoperated,successful,237,11.8,4,0.3376,0.759
287,ring_insert,teleoperated,successful,223,11.2,3,0.2691,0.771
288,ring_insert,teleoperated,successful,200,10.0,3,0.3,0.7
289,ring_insert,teleoperated,successful,282,14.1,4,0.2837,0.578
290,ring_insert,teleoperated,successful,206,10.3,3,0.2913,0.767
291,ring_insert,teleoperated,successful,358,17.9,5,0.2793,0.684
292,ring_insert,teleoperated,successful,463,23.1,4,0.1728,0.683
293,ring_insert,teleoperated,successful,284,14.2,3,0.2113,0.81
294,ring_insert,teleoperated,successful,279,13.9,3,0.2151,0.806
295,ring_insert,teleoperated,successful,255,12.8,3,0.2353,0.761
296,ring_insert,teleoperated,successful,232,11.6,3,0.2586,0.703
297,ring_insert,teleoperated,successful,281,14.1,3,0.2135,0.783
298,ring_insert,teleoperated,successful,229,11.4,3,0.262,0.755
299,ring_insert,teleoperated,successful,241,12.1,3,0.249,0.78
300,ring_insert,teleoperated,successful,235,11.8,3,0.2553,0.753
301,ring_insert,teleoperated,successful,206,10.3,3,0.2913,0.718
302,ring_insert,teleoperated,successful,197,9.8,3,0.3046,0.787
303,ring_insert,teleoperated,successful,190,9.5,3,0.3158,0.784
304,ring_insert,teleoperated,successful,216,10.8,3,0.2778,0.722
305,block_stack,diffusion,failure,464,23.2,9,0.3879,0.614
306,block_stack,diffusion,failure,454,22.7,4,0.1762,0.698
307,block_stack,diffusion,failure,458,22.9,7,0.3057,0.552
308,block_stack,diffusion,failure,456,22.8,5,0.2193,0.875
309,block_stack,diffusion,failure,455,22.8,6,0.2637,0.547
310,block_stack,diffusion,failure,465,23.2,5,0.2151,0.673
311,block_stack,diffusion,failure,459,22.9,4,0.1743,0.708
312,block_stack,diffusion,failure,451,22.6,6,0.2661,0.523
313,block_stack,diffusion,failure,421,21.1,7,0.3325,0.589
314,block_stack,diffusion,failure,452,22.6,6,0.2655,0.653
315,block_stack,diffusion,failure,451,22.6,12,0.5322,0.539
316,block_stack,diffusion,failure,466,23.3,7,0.3004,0.513
317,block_stack,diffusion,failure,436,21.8,2,0.0917,0.908
318,block_stack,diffusion,failure,451,22.6,7,0.3104,0.545
319,block_stack,diffusion,failure,460,23.0,6,0.2609,0.515
320,block_stack,diffusion,failure,457,22.9,4,0.1751,0.777
321,block_stack,diffusion,failure,451,22.6,8,0.3548,0.576
322,block_stack,diffusion,failure,448,22.4,11,0.4911,0.48
323,block_stack,diffusion,failure,427,21.4,8,0.3747,0.52
324,block_stack,diffusion,failure,457,22.9,4,0.1751,0.847
325,block_stack,diffusion,failure,449,22.4,7,0.3118,0.503
326,block_stack,diffusion,failure,459,22.9,5,0.2179,0.688
327,block_stack,diffusion,failure,446,22.3,5,0.2242,0.538
328,block_stack,diffusion,failure,438,21.9,6,0.274,0.79
329,block_stack,diffusion,failure,464,23.2,6,0.2586,0.78
330,block_stack,diffusion,failure,462,23.1,3,0.1299,0.773
331,block_stack,diffusion,failure,456,22.8,7,0.307,0.741
332,block_stack,diffusion,failure,440,22.0,5,0.2273,0.57
333,block_stack,diffusion,failure,449,22.4,8,0.3563,0.452
334,block_stack,diffusion,failure,449,22.4,7,0.3118,0.452
335,block_stack,act,failure,456,22.8,8,0.3509,0.55
336,block_stack,act,failure,450,22.5,8,0.3556,0.489
337,block_stack,act,failure,463,23.1,3,0.1296,0.847
338,block_stack,act,failure,449,22.4,2,0.0891,0.944
339,block_stack,act,failure,439,21.9,7,0.3189,0.638
340,block_stack,act,failure,465,23.2,2,0.086,0.91
341,block_stack,act,failure,465,23.2,4,0.172,0.798
342,block_stack,act,failure,466,23.3,8,0.3433,0.532
343,block_stack,act,failure,452,22.6,2,0.0885,0.914
344,block_stack,act,failure,469,23.4,12,0.5117,0.482
345,block_stack,act,failure,466,23.3,8,0.3433,0.491
346,block_stack,act,failure,468,23.4,10,0.4274,0.583
347,block_stack,act,failure,452,22.6,9,0.3982,0.546
348,block_stack,act,failure,135,6.8,3,0.4444,0.415
349,block_stack,act,failure,466,23.3,12,0.515,0.519
350,block_stack,act,failure,469,23.4,13,0.5544,0.608
351,block_stack,act,failure,481,24.1,11,0.4574,0.659
352,block_stack,act,failure,471,23.6,9,0.3822,0.701
353,block_stack,act,failure,468,23.4,2,0.0855,0.915
354,block_stack,act,failure,455,22.8,8,0.3516,0.297
355,block_stack,act,failure,478,23.9,3,0.1255,0.824
356,block_stack,act,failure,452,22.6,10,0.4425,0.438
357,block_stack,act,failure,447,22.4,12,0.5369,0.658
358,block_stack,act,failure,435,21.8,8,0.3678,0.448
359,block_stack,act,failure,474,23.7,8,0.3376,0.61
360,block_stack,act,failure,453,22.6,13,0.574,0.572
361,block_stack,act,failure,456,22.8,10,0.4386,0.59
362,block_stack,act,failure,452,22.6,9,0.3982,0.562
363,block_stack,act,failure,466,23.3,9,0.3863,0.642
364,block_stack,act,failure,456,22.8,12,0.5263,0.627
365,block_stack,smolvla,failure,449,22.4,9,0.4009,0.508
366,block_stack,smolvla,failure,451,22.6,3,0.133,0.847
367,block_stack,smolvla,failure,474,23.7,9,0.3797,0.599
368,block_stack,smolvla,failure,443,22.1,9,0.4063,0.553
369,block_stack,smolvla,failure,466,23.3,9,0.3863,0.521
370,block_stack,smolvla,successful,390,19.5,4,0.2051,0.828
371,block_stack,smolvla,failure,460,23.0,2,0.087,0.904
372,block_stack,smolvla,failure,462,23.1,9,0.3896,0.448
373,block_stack,smolvla,failure,451,22.6,4,0.1774,0.84
374,block_stack,smolvla,failure,466,23.3,3,0.1288,0.876
375,block_stack,smolvla,failure,466,23.3,9,0.3863,0.564
376,block_stack,smolvla,failure,458,22.9,5,0.2183,0.832
377,block_stack,smolvla,failure,424,21.2,8,0.3774,0.519
378,block_stack,smolvla,failure,451,22.6,7,0.3104,0.727
379,block_stack,smolvla,failure,446,22.3,10,0.4484,0.585
380,block_stack,smolvla,failure,450,22.5,9,0.4,0.467
381,block_stack,smolvla,failure,463,23.1,9,0.3888,0.508
382,block_stack,smolvla,failure,465,23.2,7,0.3011,0.428
383,block_stack,smolvla,failure,440,22.0,9,0.4091,0.552
384,block_stack,smolvla,failure,455,22.8,9,0.3956,0.446
385,block_stack,smolvla,failure,440,22.0,8,0.3636,0.595
386,block_stack,smolvla,failure,426,21.3,4,0.1878,0.768
387,block_stack,smolvla,failure,456,22.8,5,0.2193,0.64
388,block_stack,smolvla,failure,466,23.3,9,0.3863,0.534
389,block_stack,smolvla,failure,441,22.1,9,0.4082,0.499
390,block_stack,smolvla,failure,448,22.4,9,0.4018,0.455
391,block_stack,smolvla,successful,230,11.5,3,0.2609,0.67
392,block_stack,smolvla,failure,459,22.9,7,0.305,0.599
393,block_stack,smolvla,failure,446,22.3,8,0.3587,0.565
394,block_stack,smolvla,failure,458,22.9,7,0.3057,0.635
395,block_stack,smolvla,failure,445,22.2,7,0.3146,0.604
396,block_stack,smolvla,failure,457,22.9,6,0.2626,0.571
397,block_stack,smolvla,failure,446,22.3,3,0.1345,0.906
398,block_stack,smolvla,failure,432,21.6,4,0.1852,0.771
399,block_stack,smolvla,failure,447,22.4,9,0.4027,0.45
400,block_stack,smolvla,failure,459,22.9,9,0.3922,0.418
401,block_stack,smolvla,failure,441,22.1,2,0.0907,0.907
402,block_stack,smolvla,failure,289,14.4,5,0.346,0.526
403,block_stack,smolvla,failure,455,22.8,9,0.3956,0.503
404,block_stack,smolvla,failure,447,22.4,9,0.4027,0.508
405,block_stack,smolvla,failure,475,23.8,6,0.2526,0.731
406,block_stack,smolvla,failure,477,23.9,9,0.3774,0.47
407,block_stack,smolvla,failure,435,21.8,6,0.2759,0.566
408,block_stack,smolvla,failure,443,22.1,8,0.3612,0.598
409,block_stack,smolvla,successful,220,11.0,3,0.2727,0.645
410,block_stack,molmoact2,failure,321,16.1,5,0.3115,0.352
411,block_stack,molmoact2,successful,276,13.8,3,0.2174,0.772
412,block_stack,molmoact2,failure,346,17.3,3,0.1734,0.246
413,block_stack,molmoact2,failure,344,17.2,5,0.2907,0.419
414,block_stack,molmoact2,failure,358,17.9,5,0.2793,0.246
415,block_stack,molmoact2,failure,342,17.1,5,0.2924,0.421
416,block_stack,molmoact2,failure,361,18.1,5,0.277,0.202
417,block_stack,molmoact2,failure,338,16.9,4,0.2367,0.37
418,block_stack,molmoact2,failure,359,17.9,4,0.2228,0.588
419,block_stack,molmoact2,failure,338,16.9,8,0.4734,0.435
420,block_stack,molmoact2,failure,316,15.8,3,0.1899,0.658
421,block_stack,molmoact2,failure,284,14.2,4,0.2817,0.419
422,block_stack,molmoact2,failure,334,16.7,6,0.3593,0.362
423,block_stack,molmoact2,failure,344,17.2,4,0.2326,0.64
424,block_stack,molmoact2,failure,345,17.2,5,0.2899,0.435
425,block_stack,molmoact2,failure,332,16.6,4,0.241,0.608
426,block_stack,molmoact2,failure,354,17.7,3,0.1695,0.257
