policy,ep,frames,mae_shoulder_pan,mae_shoulder_lift,mae_elbow_flex,mae_wrist_flex,mae_wrist_roll,mae_gripper,gripper_closure_agreement,target_closed_frac
act,41,41,1.63,3.48,3.64,1.73,1.57,0.98,0.927,1.0
act,42,65,1.88,3.14,3.24,2.62,2.7,2.24,0.877,0.754
act,43,42,1.69,3.8,3.27,1.47,2.49,1.69,0.929,0.905
act,44,39,1.41,3.08,3.11,1.79,3.04,1.42,0.897,1.0
act,45,43,2.53,2.89,3.09,1.95,2.48,2.02,0.93,0.837
act,46,34,1.61,3.86,2.76,1.87,2.62,1.18,1.0,0.824
act,47,37,1.5,3.32,3.35,1.69,1.27,1.59,0.919,0.946
act,48,34,1.02,3.78,3.63,1.31,1.9,1.3,1.0,1.0
act,49,33,1.34,3.34,2.69,1.84,2.37,0.77,0.909,1.0
smolvla,0,49,0.59,0.8,0.97,0.41,0.62,0.39,1.0,1.0
smolvla,1,32,0.51,1.09,1.14,0.43,0.44,0.55,1.0,0.969
smolvla,2,29,0.53,0.9,0.89,0.59,0.56,0.33,1.0,0.966
smolvla,3,30,0.76,0.96,0.82,0.59,0.61,0.32,1.0,1.0
smolvla,4,27,0.5,1.05,1.29,0.54,0.63,0.34,1.0,1.0
smolvla,5,32,0.34,1.06,1.16,0.57,0.44,0.49,1.0,0.875
smolvla,6,30,0.6,0.9,0.84,0.57,0.42,0.44,1.0,0.967
smolvla,7,35,0.47,0.96,1.06,0.64,0.63,0.4,1.0,1.0
smolvla,8,30,0.45,0.88,0.73,0.51,0.37,0.48,1.0,1.0
smolvla,9,41,0.9,0.72,1.06,0.57,0.58,0.52,1.0,0.902
smolvla,10,35,0.59,0.91,1.14,0.51,0.76,0.53,1.0,1.0
smolvla,11,37,0.66,0.85,1.07,0.6,0.6,0.74,1.0,1.0
smolvla,12,40,0.4,0.95,0.93,0.58,0.6,0.42,1.0,1.0
smolvla,13,38,0.59,0.88,1.3,0.54,0.49,0.61,1.0,0.895
smolvla,14,35,0.86,0.94,1.04,0.65,0.78,0.41,1.0,0.857
smolvla,15,38,0.59,0.94,1.15,0.6,0.68,0.63,0.974,0.974
smolvla,16,46,0.49,1.05,2.11,0.62,0.7,0.51,1.0,1.0
smolvla,17,37,0.59,1.27,1.12,0.8,0.62,0.65,1.0,1.0
smolvla,18,43,0.62,0.93,1.23,0.76,0.68,0.55,0.977,0.86
smolvla,19,32,0.54,1.03,1.09,0.66,0.49,0.47,1.0,0.875
smolvla,20,41,0.82,0.82,0.79,0.36,0.38,0.35,1.0,1.0
smolvla,21,36,0.64,1.09,1.17,0.49,0.59,0.37,1.0,1.0
smolvla,22,32,0.77,0.87,1.43,0.54,0.56,0.65,1.0,1.0
smolvla,23,31,0.76,1.2,1.56,0.66,0.72,0.67,0.935,0.903
smolvla,24,37,0.55,0.85,1.0,0.56,0.52,0.51,1.0,1.0
smolvla,25,39,0.57,0.76,1.17,0.55,0.61,0.41,1.0,1.0
smolvla,26,32,0.5,0.85,0.87,0.49,0.56,0.51,1.0,1.0
smolvla,27,48,1.07,0.91,1.36,0.86,0.53,0.68,0.979,0.75
smolvla,28,37,0.41,0.99,1.22,0.45,0.42,0.42,1.0,1.0
smolvla,29,36,0.61,1.12,1.11,0.66,0.38,0.32,1.0,1.0
smolvla,30,33,0.61,0.91,1.05,0.61,0.61,0.41,1.0,1.0
smolvla,31,36,0.54,0.89,1.15,0.45,0.51,0.49,1.0,0.889
smolvla,32,34,0.52,1.0,1.21,0.53,0.47,0.38,0.853,0.912
smolvla,33,35,0.62,1.24,1.38,0.86,0.65,0.44,1.0,1.0
smolvla,34,34,0.71,0.84,1.52,0.71,0.7,0.54,1.0,1.0
smolvla,35,34,0.64,0.9,1.28,0.62,0.51,0.41,1.0,1.0
smolvla,36,35,0.39,0.97,1.19,0.48,0.49,0.54,1.0,1.0
smolvla,37,33,0.6,1.02,1.37,0.53,0.59,0.53,1.0,0.909
smolvla,38,56,0.53,1.13,1.49,0.65,0.56,0.63,0.982,0.946
smolvla,39,32,0.49,0.98,1.24,0.51,0.65,0.57,1.0,0.969
smolvla,40,33,0.67,1.08,1.16,0.7,0.55,0.31,1.0,1.0
smolvla,41,41,0.72,0.93,1.21,0.56,0.55,0.54,1.0,1.0
smolvla,42,65,0.68,0.9,1.16,0.6,0.68,0.61,0.985,0.754
smolvla,43,42,0.55,1.11,1.22,0.46,0.72,0.41,1.0,0.905
smolvla,44,39,0.83,0.79,1.31,0.52,0.68,0.45,1.0,1.0
smolvla,45,43,0.52,0.89,1.36,0.57,0.77,0.56,1.0,0.837
smolvla,46,34,0.49,0.85,1.29,0.56,0.59,0.43,0.971,0.824
smolvla,47,37,0.51,0.89,1.22,0.51,0.45,0.46,0.946,0.946
smolvla,48,34,0.67,0.95,1.23,0.5,0.39,0.45,0.971,1.0
smolvla,49,33,0.65,1.01,1.45,0.61,0.43,0.31,1.0,1.0
