episode,policy,outcome,frames,median_off,max_off,left_manifold_at,frac_off,reached_phase,ended_at_phase,phase_0,phase_1,phase_2,phase_3,phase_4,phase_5,phase_6,phase_7,phase_8,phase_9
1613,diffusion,failure,414,0.27,0.62,,0.0,0.927,0.712,0.15,0.46,0.38,0.13,0.08,0.46,0.4,0.34,0.15,0.1
1614,diffusion,failure,417,0.2,0.62,,0.0,0.894,0.687,0.13,0.27,0.3,0.18,0.05,0.48,0.3,0.41,0.07,0.13
1615,diffusion,failure,435,0.26,0.72,,0.0,0.929,0.28,0.13,0.36,0.31,0.08,0.15,0.32,0.43,0.05,0.12,0.31
1616,diffusion,failure,388,0.21,0.65,,0.0,0.931,0.767,0.15,0.35,0.27,0.06,0.11,0.34,0.32,0.18,0.06,0.12
1617,diffusion,failure,425,0.21,0.62,,0.0,0.933,0.797,0.14,0.43,0.34,0.11,0.09,0.46,0.31,0.21,0.06,0.15
1618,diffusion,successful,323,0.25,0.58,,0.0,0.941,0.5,0.1,0.32,0.41,0.26,0.23,0.04,0.1,0.41,0.28,0.36
1619,diffusion,successful,340,0.27,0.78,,0.0,0.883,0.69,0.13,0.5,0.55,0.43,0.18,0.07,0.16,0.52,0.37,0.2
1620,diffusion,successful,340,0.24,0.68,,0.0,0.878,0.642,0.16,0.32,0.3,0.35,0.1,0.06,0.25,0.29,0.4,0.11
1621,diffusion,failure,421,0.18,0.55,,0.0,0.911,0.255,0.13,0.39,0.35,0.11,0.08,0.25,0.24,0.11,0.09,0.34
1622,diffusion,successful,132,0.31,0.58,,0.0,0.831,0.628,0.14,0.12,0.33,0.4,0.28,0.42,0.22,0.48,0.41,0.22
1623,diffusion,failure,417,0.18,0.67,,0.0,0.942,0.151,0.14,0.42,0.4,0.12,0.06,0.35,0.3,0.19,0.05,0.18
1624,diffusion,failure,424,0.2,0.63,,0.0,0.906,0.689,0.14,0.33,0.37,0.12,0.1,0.43,0.4,0.24,0.08,0.21
1625,diffusion,failure,425,0.21,0.72,,0.0,0.928,0.248,0.16,0.46,0.28,0.1,0.09,0.36,0.29,0.11,0.08,0.43
1626,diffusion,successful,175,0.22,0.6,,0.0,0.903,0.849,0.13,0.14,0.48,0.47,0.51,0.38,0.43,0.2,0.09,0.07
1627,diffusion,failure,437,0.17,0.65,,0.0,0.942,0.76,0.12,0.45,0.26,0.13,0.06,0.3,0.26,0.3,0.07,0.07
1628,diffusion,failure,417,0.19,0.57,,0.0,0.942,0.787,0.13,0.37,0.32,0.13,0.08,0.38,0.26,0.18,0.06,0.14
1629,act,failure,891,0.45,0.95,,0.0,0.58,0.178,0.34,0.43,0.48,0.5,0.45,0.49,0.47,0.42,0.44,0.49
1630,act,successful,115,0.28,0.54,,0.0,0.791,0.641,0.09,0.21,0.25,0.33,0.28,0.44,0.25,0.31,0.46,0.26
1631,act,successful,194,0.36,0.7,,0.0,0.841,0.652,0.11,0.44,0.43,0.38,0.39,0.4,0.36,0.2,0.4,0.39
1632,act,successful,119,0.32,0.57,,0.0,0.929,0.664,0.1,0.14,0.42,0.46,0.43,0.2,0.28,0.39,0.48,0.27
1633,act,successful,118,0.32,0.56,,0.0,0.929,0.645,0.1,0.16,0.45,0.32,0.37,0.36,0.34,0.27,0.36,0.3
1634,act,successful,128,0.36,0.66,,0.0,0.849,0.69,0.1,0.22,0.37,0.37,0.41,0.32,0.4,0.53,0.37,0.41
1635,act,successful,192,0.3,0.69,,0.0,0.85,0.784,0.11,0.33,0.37,0.49,0.3,0.32,0.58,0.28,0.09,0.07
1636,act,failure,892,0.45,0.91,,0.0,0.669,0.187,0.41,0.46,0.41,0.37,0.35,0.35,0.57,0.58,0.5,0.54
1637,act,successful,260,0.32,0.73,,0.0,0.782,0.636,0.11,0.48,0.34,0.36,0.43,0.31,0.31,0.22,0.3,0.46
1638,act,successful,111,0.32,0.76,,0.0,0.929,0.645,0.1,0.1,0.4,0.38,0.45,0.47,0.21,0.18,0.32,0.35
1639,act,successful,153,0.33,0.55,,0.0,0.777,0.181,0.09,0.17,0.39,0.32,0.37,0.29,0.34,0.33,0.5,0.35
1640,act,failure,880,0.35,0.95,,0.0,0.669,0.268,0.43,0.45,0.43,0.33,0.34,0.34,0.3,0.26,0.3,0.28
1641,act,successful,185,0.28,0.48,,0.0,0.779,0.667,0.1,0.3,0.41,0.27,0.27,0.18,0.33,0.29,0.3,0.31
1642,act,successful,188,0.32,0.73,,0.0,0.811,0.696,0.12,0.32,0.3,0.32,0.34,0.52,0.51,0.29,0.37,0.28
1643,act,successful,129,0.33,0.6,,0.0,0.893,0.714,0.11,0.25,0.34,0.4,0.24,0.27,0.39,0.43,0.36,0.22
1644,act,failure,892,0.44,1.01,,0.0,0.481,0.187,0.32,0.51,0.43,0.41,0.46,0.45,0.43,0.41,0.46,0.38
1645,act,failure,889,0.14,1.07,,0.0,0.925,0.082,0.61,0.48,0.48,0.38,0.11,0.12,0.1,0.11,0.11,0.11
1646,act,failure,878,0.4,0.87,,0.0,0.662,0.325,0.46,0.6,0.38,0.38,0.4,0.45,0.46,0.34,0.19,0.33
1647,act,successful,152,0.27,0.52,,0.0,0.925,0.785,0.1,0.22,0.29,0.26,0.38,0.41,0.4,0.22,0.14,0.08
1648,act,failure,898,0.4,0.89,,0.0,0.669,0.354,0.42,0.42,0.38,0.47,0.32,0.44,0.36,0.39,0.36,0.36
1649,act,successful,142,0.34,0.67,,0.0,0.893,0.76,0.1,0.29,0.38,0.4,0.39,0.31,0.35,0.56,0.27,0.1
1650,act,failure,887,0.33,0.72,,0.0,0.575,0.355,0.26,0.35,0.33,0.32,0.33,0.3,0.34,0.34,0.42,0.36
1651,act,failure,890,0.42,0.85,,0.0,0.708,0.19,0.34,0.34,0.43,0.38,0.42,0.36,0.43,0.52,0.43,0.44
1652,act,successful,136,0.31,0.69,,0.0,0.84,0.727,0.09,0.23,0.28,0.35,0.35,0.3,0.36,0.38,0.26,0.59
1653,act,successful,156,0.34,0.61,,0.0,0.849,0.734,0.1,0.31,0.39,0.34,0.33,0.23,0.34,0.35,0.46,0.31
1654,act,failure,887,0.37,0.7,,0.0,0.708,0.137,0.33,0.37,0.31,0.28,0.32,0.39,0.4,0.46,0.45,0.4
1655,act,failure,894,0.35,0.75,,0.0,0.787,0.236,0.49,0.35,0.13,0.39,0.36,0.36,0.39,0.34,0.32,0.36
1656,act,successful,141,0.3,0.84,,0.0,0.784,0.721,0.11,0.3,0.32,0.43,0.36,0.3,0.29,0.26,0.24,0.48
1657,act,successful,133,0.37,0.74,,0.0,0.849,0.781,0.09,0.34,0.47,0.45,0.3,0.34,0.37,0.37,0.18,0.4
1658,act,successful,90,0.26,0.65,,0.0,0.912,0.448,0.09,0.13,0.23,0.27,0.26,0.37,0.3,0.35,0.39,0.2
1659,smolvla,failure,471,0.1,1.07,,0.0,0.737,0.22,0.06,0.43,0.3,0.09,0.07,0.08,0.07,0.08,0.29,0.41
1660,smolvla,failure,483,0.08,1.04,,0.0,0.742,0.05,0.06,0.07,0.09,0.42,0.21,0.08,0.07,0.07,0.08,0.08
1661,smolvla,successful,210,0.18,0.54,,0.0,0.867,0.634,0.05,0.07,0.08,0.08,0.23,0.31,0.39,0.26,0.3,0.21
1662,smolvla,failure,481,0.11,0.64,,0.0,0.779,0.146,0.06,0.06,0.08,0.39,0.31,0.09,0.08,0.09,0.25,0.52
1663,smolvla,failure,484,0.26,0.61,,0.0,0.83,0.485,0.32,0.29,0.21,0.07,0.29,0.34,0.14,0.33,0.31,0.1
1664,smolvla,successful,304,0.25,0.69,,0.0,0.835,0.618,0.07,0.44,0.34,0.25,0.09,0.07,0.32,0.43,0.25,0.17
1665,smolvla,failure,483,0.3,0.75,,0.0,0.76,0.357,0.07,0.07,0.12,0.42,0.28,0.31,0.51,0.39,0.39,0.39
1666,smolvla,failure,482,0.14,0.65,,0.0,0.762,0.119,0.07,0.09,0.12,0.45,0.51,0.14,0.07,0.09,0.18,0.35
1667,smolvla,failure,478,0.26,0.69,,0.0,0.845,0.507,0.13,0.38,0.31,0.31,0.46,0.23,0.13,0.34,0.23,0.08
1668,smolvla,failure,479,0.08,0.55,,0.0,0.724,0.285,0.06,0.06,0.08,0.07,0.07,0.08,0.24,0.45,0.13,0.07
1669,smolvla,failure,484,0.22,0.66,,0.0,0.803,0.466,0.29,0.33,0.19,0.31,0.25,0.18,0.13,0.28,0.2,0.14
1670,smolvla,failure,480,0.33,0.94,,0.0,0.798,0.287,0.2,0.32,0.26,0.3,0.4,0.27,0.35,0.59,0.48,0.39
1671,smolvla,failure,477,0.25,0.68,,0.0,0.808,0.517,0.17,0.31,0.21,0.27,0.32,0.2,0.1,0.4,0.3,0.15
1672,smolvla,failure,160,0.2,0.58,,0.0,0.882,0.084,0.04,0.24,0.38,0.39,0.3,0.23,0.36,0.16,0.1,0.06
1673,smolvla,failure,475,0.08,0.92,,0.0,0.873,0.06,0.06,0.1,0.11,0.1,0.34,0.3,0.07,0.07,0.06,0.08
1674,smolvla,successful,146,0.23,0.59,,0.0,0.865,0.79,0.06,0.1,0.52,0.5,0.36,0.2,0.21,0.44,0.16,0.12
1675,smolvla,failure,134,0.24,0.57,,0.0,0.833,0.682,0.06,0.14,0.44,0.48,0.42,0.26,0.23,0.18,0.44,0.15
1676,smolvla,successful,110,0.32,0.54,,0.0,0.708,0.618,0.04,0.11,0.4,0.33,0.37,0.37,0.41,0.24,0.21,0.37
1677,smolvla,failure,480,0.26,0.71,,0.0,0.776,0.347,0.26,0.31,0.18,0.27,0.45,0.17,0.13,0.51,0.22,0.1
1678,smolvla,successful,140,0.26,0.7,,0.0,0.869,0.815,0.06,0.19,0.4,0.29,0.54,0.3,0.32,0.28,0.15,0.11
1679,smolvla,successful,251,0.29,0.69,,0.0,0.793,0.673,0.06,0.36,0.36,0.32,0.24,0.15,0.41,0.51,0.21,0.26
1680,smolvla,failure,482,0.08,0.69,,0.0,0.744,0.451,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.19,0.41,0.14
1681,smolvla,failure,484,0.31,1.01,,0.0,0.829,0.258,0.25,0.34,0.2,0.33,0.5,0.19,0.42,0.41,0.24,0.38
1682,smolvla,failure,482,0.37,0.91,,0.0,0.76,0.265,0.31,0.36,0.28,0.39,0.44,0.4,0.47,0.36,0.43,0.43
1683,smolvla,failure,484,0.36,0.79,,0.0,0.759,0.272,0.31,0.3,0.36,0.36,0.4,0.36,0.46,0.35,0.37,0.32
1684,smolvla,failure,481,0.06,0.56,,0.0,0.808,0.05,0.34,0.31,0.15,0.06,0.06,0.06,0.06,0.06,0.06,0.07
1685,smolvla,failure,479,0.26,0.56,,0.0,0.844,0.43,0.17,0.4,0.27,0.31,0.36,0.15,0.1,0.4,0.21,0.1
1686,smolvla,successful,115,0.37,0.53,,0.0,0.792,0.71,0.07,0.16,0.41,0.42,0.49,0.41,0.22,0.18,0.43,0.19
1687,smolvla,failure,475,0.35,0.8,,0.0,0.746,0.258,0.19,0.28,0.26,0.37,0.27,0.36,0.36,0.44,0.46,0.35
1688,smolvla,failure,485,0.31,0.79,,0.0,0.8,0.444,0.24,0.31,0.25,0.33,0.29,0.3,0.32,0.37,0.41,0.25
1689,molmoact2,failure,408,0.39,0.87,,0.0,0.795,0.244,0.2,0.45,0.56,0.66,0.72,0.31,0.25,0.18,0.39,0.49
1690,molmoact2,failure,423,0.39,0.79,,0.0,0.842,0.215,0.33,0.4,0.43,0.67,0.37,0.38,0.39,0.42,0.27,0.2
1691,molmoact2,failure,392,0.41,0.88,,0.0,0.8,0.399,0.23,0.36,0.79,0.5,0.28,0.18,0.27,0.5,0.5,0.38
1692,molmoact2,failure,427,0.3,0.96,,0.0,0.815,0.39,0.31,0.32,0.35,0.17,0.32,0.28,0.17,0.26,0.34,0.36
1693,molmoact2,failure,427,0.26,0.73,,0.0,0.85,0.404,0.29,0.19,0.3,0.15,0.25,0.2,0.2,0.28,0.41,0.47
1694,molmoact2,failure,439,0.44,1.1,,0.0,0.792,0.593,0.36,0.44,0.47,0.44,0.36,0.58,0.47,0.38,0.42,0.27
1695,molmoact2,successful,240,0.33,0.62,,0.0,0.85,0.67,0.15,0.49,0.29,0.43,0.27,0.36,0.36,0.23,0.33,0.35
1696,molmoact2,failure,438,0.29,0.95,,0.0,0.85,0.353,0.18,0.24,0.29,0.19,0.44,0.28,0.19,0.36,0.35,0.57
1697,molmoact2,failure,439,0.32,0.63,,0.0,0.85,0.425,0.33,0.48,0.43,0.32,0.15,0.24,0.3,0.37,0.41,0.24
1698,molmoact2,failure,439,0.18,0.6,,0.0,0.845,0.065,0.28,0.37,0.25,0.17,0.43,0.33,0.19,0.16,0.15,0.14
1699,molmoact2,failure,435,0.47,0.65,,0.0,0.719,0.19,0.26,0.5,0.53,0.56,0.57,0.3,0.16,0.38,0.54,0.59
1700,molmoact2,failure,441,0.4,0.66,,0.0,0.817,0.6,0.2,0.44,0.41,0.36,0.5,0.51,0.39,0.34,0.42,0.39
1701,molmoact2,failure,440,0.25,0.61,,0.0,0.85,0.172,0.16,0.21,0.36,0.17,0.16,0.47,0.43,0.26,0.2,0.29
1702,molmoact2,failure,432,0.43,0.86,,0.0,0.776,0.295,0.38,0.46,0.31,0.36,0.39,0.56,0.43,0.33,0.75,0.55
1703,molmoact2,failure,443,0.38,0.61,,0.0,0.407,0.344,0.29,0.27,0.37,0.38,0.38,0.4,0.39,0.43,0.45,0.4
1704,molmoact2,failure,430,0.57,0.73,,0.0,0.402,0.19,0.16,0.47,0.49,0.59,0.61,0.63,0.63,0.6,0.56,0.57
1705,molmoact2,failure,445,0.51,0.69,,0.0,0.392,0.19,0.18,0.45,0.49,0.52,0.54,0.51,0.52,0.45,0.54,0.54
1706,molmoact2,failure,432,0.52,0.67,,0.0,0.565,0.231,0.2,0.36,0.42,0.54,0.47,0.55,0.61,0.61,0.61,0.6
1707,molmoact2,failure,441,0.39,0.69,,0.0,0.85,0.671,0.17,0.5,0.56,0.6,0.64,0.29,0.16,0.34,0.4,0.27
1708,molmoact2,failure,445,0.5,0.69,,0.0,0.399,0.231,0.2,0.51,0.53,0.57,0.58,0.54,0.49,0.4,0.46,0.43
1709,molmoact2,failure,449,0.58,0.73,,0.0,0.399,0.338,0.36,0.53,0.57,0.58,0.55,0.59,0.63,0.62,0.61,0.61
1710,molmoact2,failure,451,0.57,0.7,,0.0,0.392,0.19,0.24,0.46,0.52,0.56,0.59,0.59,0.61,0.59,0.58,0.61
1711,molmoact2,failure,425,0.4,0.96,,0.0,0.85,0.384,0.23,0.35,0.28,0.45,0.42,0.32,0.51,0.54,0.36,0.59
1712,molmoact2,failure,445,0.47,0.91,,0.0,0.727,0.215,0.22,0.43,0.53,0.33,0.53,0.5,0.57,0.45,0.47,0.51
1713,molmoact2,failure,444,0.56,0.71,,0.0,0.399,0.19,0.36,0.47,0.54,0.56,0.56,0.56,0.56,0.58,0.57,0.6
1714,molmoact2,failure,450,0.54,0.66,,0.0,0.405,0.231,0.18,0.53,0.47,0.5,0.54,0.59,0.61,0.57,0.56,0.58
1715,molmoact2,failure,442,0.56,0.87,,0.0,0.661,0.19,0.21,0.43,0.71,0.57,0.6,0.64,0.49,0.49,0.6,0.6
1716,molmoact2,failure,436,0.53,0.78,,0.0,0.655,0.338,0.3,0.54,0.45,0.61,0.61,0.48,0.45,0.58,0.57,0.61
1717,molmoact2,failure,405,0.41,0.88,,0.0,0.756,0.26,0.18,0.35,0.36,0.57,0.41,0.43,0.41,0.38,0.5,0.6
1718,molmoact2,failure,420,0.51,0.66,,0.0,0.392,0.214,0.3,0.5,0.57,0.53,0.51,0.53,0.51,0.5,0.51,0.5
1719,molmoact2,successful,181,0.22,0.67,,0.0,0.858,0.757,0.03,0.1,0.47,0.41,0.36,0.19,0.31,0.27,0.17,0.06
1720,molmoact2,successful,128,0.26,0.58,,0.0,0.803,0.71,0.03,0.11,0.37,0.35,0.43,0.26,0.22,0.29,0.36,0.12
1721,molmoact2,successful,151,0.18,0.57,,0.0,0.895,0.812,0.03,0.22,0.22,0.48,0.25,0.18,0.19,0.18,0.09,0.03
1722,molmoact2,failure,430,0.39,0.8,,0.0,0.726,0.45,0.22,0.31,0.29,0.57,0.41,0.3,0.54,0.52,0.55,0.38
1723,molmoact2,failure,439,0.38,0.85,,0.0,0.719,0.308,0.07,0.5,0.31,0.28,0.45,0.32,0.39,0.54,0.42,0.47
1724,molmoact2,successful,154,0.16,0.57,,0.0,0.93,0.893,0.03,0.31,0.26,0.47,0.24,0.17,0.16,0.15,0.08,0.02
1725,molmoact2,successful,148,0.19,0.65,,0.0,0.834,0.783,0.02,0.07,0.25,0.23,0.52,0.22,0.2,0.27,0.14,0.09
1726,molmoact2,successful,150,0.26,0.59,,0.0,0.871,0.816,0.03,0.07,0.34,0.32,0.47,0.27,0.32,0.33,0.14,0.04
1727,molmoact2,successful,163,0.19,0.68,,0.0,0.877,0.822,0.05,0.1,0.31,0.38,0.46,0.23,0.27,0.25,0.13,0.03
1728,molmoact2,successful,173,0.24,0.66,,0.0,0.846,0.776,0.04,0.14,0.5,0.39,0.36,0.22,0.3,0.24,0.17,0.08
1729,molmoact2,failure,421,0.36,0.84,,0.0,0.826,0.405,0.18,0.48,0.27,0.56,0.3,0.12,0.57,0.32,0.21,0.43
1730,molmoact2,successful,144,0.19,0.44,,0.0,0.937,0.816,0.03,0.21,0.25,0.31,0.25,0.17,0.26,0.25,0.13,0.06
1731,molmoact2,successful,421,0.24,0.6,,0.0,0.86,0.574,0.25,0.27,0.17,0.5,0.32,0.2,0.07,0.31,0.24,0.17
1732,molmoact2,successful,137,0.23,0.54,,0.0,0.864,0.775,0.04,0.2,0.3,0.37,0.47,0.24,0.23,0.22,0.18,0.08
1733,molmoact2,successful,135,0.26,0.63,,0.0,0.831,0.744,0.03,0.1,0.42,0.46,0.51,0.26,0.29,0.26,0.2,0.11
1734,molmoact2,failure,418,0.38,0.8,,0.0,0.845,0.39,0.14,0.35,0.46,0.56,0.43,0.21,0.43,0.31,0.17,0.43
1735,molmoact2,failure,436,0.48,0.78,,0.0,0.719,0.295,0.09,0.37,0.61,0.36,0.58,0.58,0.29,0.48,0.47,0.51
1736,molmoact2,successful,392,0.35,0.84,,0.0,0.823,0.618,0.1,0.33,0.31,0.65,0.28,0.6,0.27,0.49,0.34,0.13
1737,molmoact2,failure,448,0.37,0.75,,0.0,0.7,0.375,0.12,0.37,0.39,0.38,0.3,0.34,0.48,0.32,0.32,0.46
1738,molmoact2,failure,432,0.22,0.79,,0.0,0.87,0.264,0.14,0.37,0.37,0.07,0.14,0.16,0.37,0.1,0.36,0.26
1739,molmoact2,successful,155,0.2,0.67,,0.0,0.89,0.792,0.04,0.31,0.21,0.47,0.43,0.21,0.41,0.2,0.08,0.03
1740,molmoact2,failure,448,0.35,1.32,0.87,0.002,0.788,0.553,0.15,0.34,0.39,0.48,0.43,0.51,0.26,0.24,0.24,0.39
1741,molmoact2,successful,148,0.21,0.56,,0.0,0.89,0.848,0.06,0.25,0.35,0.36,0.25,0.27,0.19,0.16,0.09,0.02
1742,molmoact2,failure,448,0.37,0.86,,0.0,0.753,0.356,0.16,0.32,0.17,0.39,0.26,0.63,0.44,0.3,0.42,0.39
1743,molmoact2,successful,237,0.3,0.77,,0.0,0.807,0.732,0.06,0.27,0.38,0.25,0.36,0.58,0.47,0.33,0.27,0.09
1744,molmoact2,successful,151,0.27,0.68,,0.0,0.868,0.78,0.03,0.05,0.21,0.42,0.34,0.36,0.27,0.33,0.23,0.07
1745,molmoact2,failure,448,0.23,0.73,,0.0,0.85,0.186,0.15,0.27,0.17,0.49,0.33,0.19,0.03,0.03,0.2,0.44
1746,molmoact2,successful,149,0.25,0.54,,0.0,0.914,0.827,0.07,0.28,0.35,0.35,0.24,0.26,0.33,0.18,0.09,0.02
1747,molmoact2,successful,143,0.25,0.53,,0.0,0.904,0.79,0.03,0.15,0.25,0.32,0.43,0.26,0.31,0.32,0.14,0.07
1748,molmoact2,failure,446,0.05,0.68,,0.0,0.93,0.917,0.23,0.3,0.08,0.02,0.17,0.37,0.08,0.01,0.01,0.02
1749,grootn1.7,successful,145,0.31,0.76,,0.0,0.822,0.735,0.22,0.3,0.35,0.3,0.22,0.36,0.4,0.5,0.4,0.25
1750,grootn1.7,successful,130,0.42,0.71,,0.0,0.838,0.756,0.19,0.22,0.46,0.46,0.31,0.54,0.6,0.64,0.37,0.13
1751,grootn1.7,successful,140,0.29,0.48,,0.0,0.833,0.756,0.21,0.27,0.25,0.41,0.29,0.32,0.28,0.35,0.3,0.18
1752,grootn1.7,failure,353,1.27,1.84,0.307,0.586,0.623,0.62,0.17,0.5,0.5,1.09,1.22,1.52,1.46,1.45,1.49,1.42
1753,grootn1.7,successful,143,0.38,0.76,,0.0,0.753,0.718,0.27,0.32,0.31,0.47,0.35,0.35,0.43,0.44,0.69,0.38
1754,grootn1.7,successful,160,0.3,0.67,,0.0,0.93,0.771,0.12,0.23,0.37,0.53,0.37,0.29,0.21,0.3,0.35,0.22
1755,grootn1.7,successful,131,0.33,0.66,,0.0,0.822,0.744,0.22,0.25,0.22,0.37,0.47,0.27,0.43,0.43,0.49,0.44
1756,grootn1.7,successful,160,0.32,0.78,,0.0,0.823,0.764,0.15,0.31,0.26,0.42,0.55,0.31,0.24,0.35,0.35,0.28
1757,grootn1.7,successful,140,0.28,0.54,,0.0,0.833,0.815,0.27,0.27,0.35,0.37,0.22,0.23,0.36,0.36,0.27,0.18
1758,grootn1.7,successful,151,0.31,1.03,,0.0,0.858,0.841,0.18,0.23,0.34,0.37,0.29,0.33,0.56,0.58,0.3,0.11
1759,grootn1.7,successful,150,0.33,0.83,,0.0,0.848,0.788,0.24,0.23,0.28,0.29,0.31,0.49,0.54,0.41,0.74,0.3
1760,grootn1.7,successful,140,0.38,0.69,,0.0,0.793,0.623,0.27,0.21,0.34,0.5,0.25,0.26,0.44,0.43,0.61,0.5
1761,grootn1.7,failure,353,1.14,2.48,0.503,0.479,0.623,0.297,0.2,0.42,0.61,0.7,0.82,1.43,1.75,1.57,1.65,1.72
1762,grootn1.7,successful,148,0.25,0.63,,0.0,0.843,0.815,0.24,0.26,0.21,0.24,0.3,0.33,0.23,0.35,0.25,0.17
1763,grootn1.7,successful,149,0.32,1.1,,0.0,0.868,0.831,0.25,0.23,0.24,0.32,0.32,0.47,0.61,0.6,0.44,0.28
1764,grootn1.7,failure,374,0.51,0.95,,0.0,0.66,0.371,0.25,0.46,0.46,0.5,0.58,0.45,0.53,0.71,0.71,0.78
1765,grootn1.7,failure,272,0.39,0.8,,0.0,0.542,0.121,0.24,0.41,0.42,0.49,0.6,0.61,0.32,0.24,0.33,0.46
1766,grootn1.7,failure,369,0.6,1.4,0.698,0.122,0.492,0.472,0.24,0.32,0.44,0.48,0.61,0.43,0.75,1.27,1.22,0.8
1767,grootn1.7,successful,300,0.35,0.69,,0.0,0.815,0.655,0.21,0.37,0.34,0.31,0.54,0.46,0.43,0.34,0.3,0.34
1768,grootn1.7,failure,369,0.69,1.71,0.769,0.127,0.616,0.612,0.19,0.36,0.37,0.68,0.84,0.68,0.85,1.0,0.96,1.49
1769,grootn1.7,successful,366,0.57,1.14,,0.0,0.781,0.678,0.28,0.36,0.6,0.73,0.41,0.5,1.04,0.86,0.64,0.46
1770,grootn1.7,successful,170,0.29,0.54,,0.0,0.846,0.784,0.2,0.25,0.36,0.36,0.43,0.2,0.31,0.33,0.29,0.21
1771,grootn1.7,successful,140,0.32,0.6,,0.0,0.868,0.809,0.17,0.28,0.55,0.37,0.26,0.37,0.36,0.45,0.19,0.18
1772,grootn1.7,successful,183,0.39,0.71,,0.0,0.764,0.66,0.17,0.44,0.34,0.4,0.45,0.44,0.22,0.21,0.48,0.4
1773,grootn1.7,failure,197,0.43,0.83,,0.0,0.462,0.295,0.19,0.29,0.42,0.26,0.53,0.43,0.45,0.56,0.77,0.75
1774,grootn1.7,failure,383,0.91,2.2,0.529,0.418,0.676,0.303,0.2,0.32,0.56,0.74,0.84,1.02,1.51,1.8,1.83,1.87
1775,grootn1.7,successful,382,0.47,0.94,,0.0,0.806,0.618,0.18,0.48,0.52,0.53,0.45,0.45,0.81,0.65,0.39,0.26
1776,grootn1.7,failure,286,0.48,1.26,0.965,0.031,0.604,0.33,0.19,0.31,0.36,0.5,0.42,0.47,0.71,0.58,0.61,1.15
1777,grootn1.7,failure,375,0.7,1.86,0.471,0.171,0.627,0.461,0.28,0.49,0.58,0.71,0.65,0.82,0.62,0.74,1.54,1.54
1778,grootn1.7,successful,145,0.29,0.66,,0.0,0.811,0.775,0.26,0.23,0.39,0.44,0.24,0.21,0.24,0.46,0.31,0.27
1779,pi0,successful,143,0.26,0.54,,0.0,0.86,0.79,0.1,0.17,0.36,0.31,0.38,0.28,0.33,0.25,0.12,0.07
1780,pi0,successful,159,0.2,0.58,,0.0,0.845,0.816,0.08,0.22,0.4,0.29,0.23,0.15,0.41,0.21,0.11,0.07
1781,pi0,successful,296,0.24,0.64,,0.0,0.85,0.735,0.09,0.29,0.31,0.2,0.17,0.18,0.4,0.3,0.39,0.2
1782,pi0,successful,464,0.26,0.68,,0.0,0.883,0.723,0.19,0.31,0.23,0.17,0.41,0.28,0.17,0.46,0.28,0.07
1783,pi0,successful,149,0.28,0.6,,0.0,0.805,0.727,0.08,0.22,0.35,0.39,0.42,0.35,0.28,0.35,0.25,0.13
