arm,ep,verdict,in_train,frames,target_closed_frac,closure_recall,false_closure,pred_min,target_min
23random,15,closure_no_lift,True,145,0.193,1.0,0.0,25.7,26.4
23random,16,complete_pickup,False,145,0.593,1.0,0.119,24.6,24.2
23random,17,no_closure,False,145,0.0,nan,0.0,71.8,82.4
23random,18,closure_no_lift,False,145,0.076,0.909,0.0,26.4,24.2
23random,19,complete_pickup,False,145,0.586,1.0,0.017,25.6,24.1
23random,20,no_closure,False,145,0.0,nan,0.0,88.3,98.7
23random,21,no_closure,False,144,0.0,nan,0.0,91.4,98.7
23random,22,complete_pickup,True,145,0.8,1.0,0.034,23.8,24.3
23random,23,complete_pickup,True,145,0.331,1.0,0.01,23.7,23.0
23random,24,complete_pickup,False,145,0.648,0.979,0.059,23.7,24.6
23random,25,closure_no_lift,True,145,0.124,1.0,0.008,23.5,24.2
23random,26,closure_no_lift,False,145,0.034,0.8,0.014,26.1,23.5
23random,27,complete_pickup,True,145,0.648,0.989,0.0,23.4,24.2
23random,28,closure_no_lift,False,145,0.483,0.371,0.08,24.5,23.2
23random,29,complete_pickup,True,145,0.269,0.974,0.009,23.3,23.0
23random,30,complete_pickup,False,145,0.331,0.938,0.196,24.0,32.7
23random,31,closure_no_lift,True,143,0.308,1.0,0.0,23.7,24.3
23random,32,complete_pickup,False,145,0.717,0.75,0.22,23.8,24.0
23random,33,no_closure,False,150,0.0,nan,0.0,63.9,52.4
23random,34,no_closure,True,144,0.0,nan,0.0,92.1,92.6
23random,35,brief_closure,False,145,0.014,0.0,0.0,52.3,27.8
23random,36,closure_no_lift,False,145,0.193,0.0,0.0,40.8,24.1
23random,37,brief_closure,False,147,0.02,0.0,0.0,41.2,24.2
23random,38,closure_no_lift,False,145,0.207,0.7,0.0,25.0,23.9
23random,39,closure_no_lift,False,145,0.586,0.882,0.033,24.6,24.0
23random,40,no_closure,False,145,0.0,nan,0.0,81.6,85.0
23random,41,no_closure,False,147,0.211,0.0,0.0,58.7,29.2
23random,42,closure_no_lift,True,145,0.09,0.923,0.0,24.6,24.0
23random,43,closure_no_lift,True,145,0.159,1.0,0.008,29.9,30.0
23random,44,complete_pickup,False,145,0.497,0.722,0.014,25.6,25.8
23random,45,complete_pickup,False,147,0.626,0.522,0.0,25.6,23.6
23random,46,closure_no_lift,True,145,0.055,1.0,0.007,23.5,24.0
23random,47,no_closure,False,145,0.0,nan,0.0,64.8,66.8
23random,48,complete_pickup,True,144,0.708,1.0,0.0,24.0,24.5
23random,49,complete_pickup,True,145,0.276,1.0,0.0,26.1,26.8
23random,50,closure_no_lift,False,145,0.269,0.872,0.0,24.6,25.1
23random,51,complete_pickup,True,145,0.262,0.974,0.0,23.6,24.2
23random,52,complete_pickup,False,145,0.469,0.721,0.013,23.9,29.3
23random,53,complete_pickup,False,145,0.49,0.817,0.014,25.6,24.1
23random,54,closure_no_lift,False,145,0.076,0.0,0.0,41.8,28.9
23random,55,complete_pickup,False,145,0.352,1.0,0.011,25.5,24.1
23random,56,closure_no_lift,False,145,0.483,0.786,0.013,26.0,24.2
23random,57,brief_closure,True,145,0.0,nan,0.0,52.0,48.4
23random,58,closure_no_lift,True,145,0.248,0.972,0.0,23.9,24.6
23random,59,complete_pickup,False,145,0.421,0.869,0.012,24.5,24.3
